,Cloumns0,Cloumns1,Cloumns2,Cloumns3,Cloumns4,Cloumns5,Cloumns6,Cloumns7,Cloumns8,Cloumns9,Cloumns10,Cloumns11,Cloumns12,Cloumns13,Cloumns14,Cloumns15,Cloumns16,Cloumns17,Cloumns18,Cloumns19,Cloumns20,Cloumns21,Cloumns22,Cloumns23,Cloumns24,Cloumns25,Cloumns26,Cloumns27,Cloumns28,Cloumns29,Cloumns30,Cloumns31,Cloumns32,Cloumns33,Cloumns34,Cloumns35,Cloumns36,Cloumns37,Cloumns38,Cloumns39,Cloumns40,Cloumns41,Cloumns42,Cloumns43,Cloumns44,Cloumns45,Cloumns46,Cloumns47,Cloumns48,Cloumns49
317,2.9296761117552452,2.6906735238292754,1.4034906870302049,2.4983064096525127,2.2255753885059506,2.0052278512881996,1.9676443828604118,1.9676443828604118,2.5872113050717607,2.5872113050717607,2.2124807691481703,2.2124807691481703,2.2124807691481703,2.2124807691481703,2.2124807691481703,2.7262902201937047,2.381104164905817,2.0758422303275705,1.8587697494861515,2.665390164721477,2.2540761363989503,2.4638713009351987,2.613007127620202,2.166240834856976,2.1744008151237395,2.1744008151237395,2.322636855940802,2.322636855940802,2.726618810941812,2.9927426835354907,2.9927426835354907,2.8310929964228726,2.725875176889014,3.3301163281688826,3.3301163281688826,2.9720735376604694,2.9720735376604694,3.4321971594316514,3.4321971594316514,2.686278838776029,2.7452945333373453,2.7452945333373453,3.357312520957915,3.89076331036802,3.2268961607928843,3.5312861170843615,3.5312861170843615,3.0587768003600426,3.261693330148903,3.4695614003006385
318,2.973935154033471,2.715196799517374,1.4341345409749926,2.5316872627234024,2.255004502414962,2.037024835770082,1.9993897340107072,1.9993897340107072,2.6276861272591896,2.6276861272591896,2.244088279932797,2.244088279932797,2.244088279932797,2.244088279932797,2.244088279932797,2.7552059306472865,2.4237364919159865,2.120198829837793,1.9017684437446023,2.694357333698588,2.2834754305889735,2.4995309118078475,2.6487863135028853,2.187548450406968,2.203321215536204,2.203321215536204,2.3541867550160904,2.3541867550160904,2.7510963549855667,3.0332623960133613,3.0332623960133613,2.866044523532235,2.7503533779969254,3.3643415051242993,3.3643415051242993,3.0134352865639067,3.0134352865639067,3.4619192714976537,3.4619192714976537,2.715242575461717,2.7697851657826495,2.7697851657826495,3.3946880841241125,3.91575216507218,3.2596649423790596,3.5702579525988343,3.5702579525988343,3.1149803320706466,3.294462070975834,3.5085319273281192
319,3.0152978300799713,2.751318078627361,1.4623031519085279,2.5673312221864175,2.2844030534179467,2.0721718933662414,2.0311856128375085,2.0311856128375085,2.6637567124177286,2.6637567124177286,2.2756511482301294,2.2756511482301294,2.2756511482301294,2.2756511482301294,2.2756511482301294,2.801048031062793,2.4663687613829395,2.1638227175047486,1.9358746307134713,2.7188878968522268,2.31287358640556,2.5351746350394353,2.6848438181729177,2.219795998309123,2.234956363002488,2.234956363002488,2.3857713557708613,2.3857713557708613,2.775586031287837,3.074636427563686,3.074636427563686,2.901022511023868,2.796179488481374,3.388809623587938,3.388809623587938,3.054788237413574,3.054788237413574,3.4916348644383945,3.4916348644383945,2.751354608463158,2.817799618760307,2.817799618760307,3.432066511360164,3.9407505102943627,3.2924336801134473,3.603175669523527,3.603175669523527,3.153038616433016,3.327241106866381,3.547503797368327
320,3.056663512758911,2.7971498545950855,1.490539479141995,2.6029539703568343,2.313801119376519,2.114746551024514,2.0663301080957384,2.0663301080957384,2.69271397642321,2.69271397642321,2.3072142518641794,2.3072142518641794,2.3072142518641794,2.3072142518641794,2.3072142518641794,2.8490638907743193,2.499741911353812,2.1962166862500614,1.967676609299166,2.7477959443311892,2.3363327647901597,2.570818353641,2.7138066471599434,2.2513875402674257,2.266517712757967,2.266517712757967,2.4284033436409915,2.4284033436409915,2.8105204599425284,3.1159930878074373,3.1159930878074373,2.944788090164918,2.8311156559583557,3.4132835748872847,3.4132835748872847,3.1110017535917,3.1110017535917,3.530606725928598,3.530606725928598,2.7863083715604695,2.865810741762549,2.865810741762549,3.4739164004431258,3.968256118526169,3.32520955154753,3.636129520960343,3.636129520960343,3.1911356399749096,3.3654273309702507,3.580427806515437
321,3.1128793987583814,2.845156689128847,1.5214042453996108,2.6385605019448195,2.343224800372294,2.135090124890839,2.110619595275574,2.110619595275574,2.7172535511177496,2.7172535511177496,2.3387647707515313,2.3387647707515313,2.3387647707515313,2.3387647707515313,2.3387647707515313,2.8970753268934395,2.533118692491047,2.2284647471444123,1.9994163775174865,2.793614695694698,2.359776616063698,2.6064360974259255,2.738338880990928,2.282950410791041,2.298080707631322,2.298080707631322,2.4617757480228146,2.4617757480228146,2.845471955433494,3.141308699020903,3.141308699020903,2.9885798157662955,2.8660671535294693,3.4465503451650723,3.4465503451650723,3.1490516289158252,3.1490516289158252,3.569578553069132,3.569578553069132,2.834322124008253,2.9138218067291395,2.9138218067291395,3.51288718219278,3.9957555686964774,3.359433392679458,3.669749878918191,3.669749878918191,3.2238991963285573,3.3898960372630524,3.6188353985697845
322,3.150941279772785,2.893168264764626,1.5522702164135598,2.6743540871803986,2.366668507286735,2.1630896590110056,2.154238095717411,2.154238095717411,2.746163728405686,2.746163728405686,2.3703633376259847,2.3703633376259847,2.3703633376259847,2.3703633376259847,2.3703633376259847,2.940827641909879,2.562905208205146,2.26003767337464,2.0311595285308446,2.8285461766998146,2.383279593142563,2.6420423116721405,2.7628262933000687,2.3145135157242485,2.3296326312202593,2.3296326312202593,2.4951495169870666,2.4951495169870666,2.8804472533210537,3.1793877503422108,3.1793877503422108,3.0299467870531194,2.901043329862928,3.4810594974695874,3.4810594974695874,3.187141107299527,3.187141107299527,3.607990215044279,3.607990215044279,2.8823333883250366,2.9575716243873673,2.9575716243873673,3.5518590844577043,4.023255073310836,3.396805030063076,3.703420235245914,3.703420235245914,3.2566678477248687,3.4143723752481265,3.652458877452293
323,3.1890295487888496,2.9369169193138225,1.583209396795535,2.703259812597535,2.3901681394162213,2.1834132157783963,2.185615199969485,2.185615199969485,2.791983127500659,2.791983127500659,2.402265263016951,2.402265263016951,2.402265263016951,2.402265263016951,2.402265263016951,2.9846133471530427,2.590678159715625,2.291600873165031,2.0629470141121358,2.8634977301107316,2.4233219349007684,2.6776489411311424,2.797767734928744,2.3460632664720453,2.3612415469674306,2.3612415469674306,2.5285260567370336,2.5285260567370336,2.924203619290848,3.204715014699751,3.204715014699751,3.0713206514192826,2.944808877612165,3.5200314054861743,3.5200314054861743,3.225263708967307,3.225263708967307,3.6416158913458396,3.6416158913458396,2.930344595942663,2.9980657110855313,2.9980657110855313,3.584780568028099,4.050756476954252,3.4212799573597947,3.74378133988142,3.74378133988142,3.2894364543911188,3.4476384270598803,3.6860841822663524
324,3.221791518583562,2.98068256571967,1.6280568462262095,2.7277977476645634,2.4302103531559216,2.211357035155111,2.2135605298763963,2.2135605298763963,2.826913641694604,2.826913641694604,2.444897113941126,2.444897113941126,2.444897113941126,2.444897113941126,2.444897113941126,3.0259828538315623,2.6311125157525965,2.323144629707336,2.1072419421416484,2.898472990658314,2.4633973960120814,2.698910272433153,2.832719205061414,2.3776565352123775,2.3931425833434496,2.3931425833434496,2.5619025896184158,2.5619025896184158,2.9679897362135557,3.237483858830754,3.237483858830754,3.1126708819719253,2.988601998308094,3.559003279558203,3.559003279558203,3.2580543516664124,3.2580543516664124,3.6752346067461907,3.6752346067461907,2.9746018444986078,3.03857221805427,3.03857221805427,3.6177012352837306,4.0782608212116225,3.4545372035142723,3.7841469745079874,3.7841469745079874,3.3222127438604154,3.4821413229283618,3.719750273586877
325,3.2545601512943003,3.0220529742468,1.6702929723267395,2.7567083439605162,2.4635819367654266,2.2407980883600054,2.244856119435469,2.244856119435469,2.861865187268392,2.861865187268392,2.4782704717397697,2.4782704717397697,2.4782704717397697,2.4782704717397697,2.4782704717397697,3.067353282402145,2.667257095097498,2.3547551820352473,2.150854512729106,2.9422385977268295,2.4990552334111507,2.720282265360815,2.8676986743718516,2.4095594149678776,2.435774430648681,2.435774430648681,2.5953540255473198,2.5953540255473198,3.008480359814489,3.270252659639777,3.270252659639777,3.161344215367581,3.029967202892323,3.5919234034408456,3.5919234034408456,3.290822878435499,3.290822878435499,3.7089036603631103,3.7089036603631103,3.0159672599163896,3.0947623038373533,3.0947623038373533,3.650655361550226,4.106464168970607,3.4890534388383516,3.8245134088634645,3.8245134088634645,3.356436736067532,3.521111918576047,3.760111987585338
326,3.2873287391043418,3.063426757548183,1.708064986646352,2.791657944005815,2.496960036776447,2.2702176442587128,2.276418785059187,2.276418785059187,2.896844769196011,2.896844769196011,2.511646932498656,2.511646932498656,2.511646932498656,2.511646932498656,2.511646932498656,3.1235830168009078,2.6962157497674832,2.3866570798438866,2.183207340317878,2.986030056503063,2.5346990255638806,2.7416440721486666,2.9157099672224,2.452191204387843,2.469147370145519,2.469147370145519,2.635829812808253,2.635829812808253,3.048995341137107,3.303021762356632,3.303021762356632,3.1940690761807358,3.071341050012189,3.624876232154598,3.624876232154598,3.325042047416839,3.325042047416839,3.749265191782593,3.749265191782593,3.057329035151228,3.143369317316216,3.143369317316216,3.6842807102884314,4.152490566555264,3.5280253554624235,3.862262231863569,3.862262231863569,3.394622913884982,3.5600838109538913,3.800478459436692
