X,Y,Z,
-0.10589,0.0723955,1.48104,
-0.104609,0.0725932,1.48124,
-0.103333,0.0727887,1.48144,
-0.102109,0.0729727,1.48165,
-0.100886,0.0731524,1.48185,
-0.0996699,0.0733248,1.48206,
-0.098426,0.0734945,1.48228,
-0.0967046,0.0737218,1.48257,
-0.0949774,0.0739416,1.48285,
-0.0932474,0.0741535,1.48314,
-0.0915017,0.0743601,1.48342,
-0.0872892,0.0748373,1.48412,
-0.0829759,0.0752993,1.48488,
-0.07989,0.0755992,1.48542,
-0.0767632,0.0758618,1.48595,
-0.0735715,0.0760985,1.48648,
-0.0684177,0.0764445,1.48736,
-0.0637482,0.0767184,1.48821,
-0.0591626,0.0769416,1.48906,
-0.0545693,0.0771211,1.48994,
-0.0486007,0.077304,1.49109,
-0.0426344,0.0774361,1.49223,
-0.0383795,0.0775,1.49303,
-0.034222,0.0775346,1.49381,
-0.0301007,0.0775365,1.4946,
-0.0259728,0.0775035,1.4954,
-0.0218507,0.0774366,1.49621,
-0.0181704,0.0773466,1.49694,
-0.0145235,0.0772267,1.49769,
-0.01084,0.077081,1.49843,
-0.00552798,0.0768463,1.49948,
-0.000204557,0.076585,1.50055,
0.00502524,0.0763057,1.50161,
0.0112134,0.0759392,1.50291,
0.0169625,0.0755372,1.50418,
0.0224583,0.0750743,1.50547,
0.0261485,0.0747094,1.50634,
0.0298106,0.0742946,1.50718,
0.0335878,0.0738238,1.50797,
0.038572,0.0731609,1.50895,
0.0435688,0.0724651,1.5099,
0.048771,0.0717069,1.51086,
0.0539893,0.0709157,1.5118,
0.0601283,0.0699625,1.51285,
0.066751,0.068917,1.51388,
0.0733899,0.0678504,1.51482,
0.0800322,0.0667653,1.51566,
0.0859432,0.0657807,1.51636,
0.09158,0.0648168,1.51701,
0.0972025,0.0638161,1.51765,
0.102779,0.0627837,1.51826,
0.10837,0.0617125,1.51884,
0.114332,0.060545,1.51942,
0.121415,0.0591578,1.52003,
0.128509,0.0577883,1.52054,
0.135645,0.0564483,1.52094,
0.143679,0.054986,1.52125,
0.154154,0.0530757,1.52153,
0.161775,0.0516546,1.52167,
0.16928,0.0502278,1.52175,
0.176906,0.04875,1.52177,
0.183874,0.0473954,1.52173,
0.190843,0.0460678,1.52161,
0.198555,0.044652,1.52139,
0.206274,0.0433002,1.52103,
0.211574,0.0424086,1.52073,
0.216878,0.0415435,1.5204,
0.222004,0.0407199,1.52009,
0.227105,0.0398978,1.51983,
0.232188,0.0390719,1.51961,
0.239316,0.0379545,1.51929,
0.24643,0.0369247,1.51883,
0.253654,0.0359516,1.51824,
0.263954,0.0346464,1.51725,
0.275198,0.0333033,1.51605,
0.286511,0.0320324,1.51478,
0.298458,0.0307564,1.51332,
0.309032,0.0296618,1.51191,
0.319496,0.0286287,1.51041,
0.329948,0.0276839,1.50883,
0.338733,0.0269585,1.50749,
0.347544,0.0262787,1.50617,
0.356272,0.0256523,1.50486,
0.365014,0.0250776,1.50352,
0.370313,0.024757,1.50269,
0.375621,0.0244523,1.50185,
0.380934,0.0241593,1.50101,
0.386248,0.023873,1.50017,
0.391561,0.0235936,1.49933,
0.396875,0.0233212,1.49849,
0.402185,0.0230568,1.49766,
0.407507,0.0228038,1.49683,
0.415096,0.0224727,1.49566,
0.422698,0.0221801,1.49447,
0.43145,0.0218886,1.49309,
0.441013,0.0216047,1.49163,
0.450586,0.0213412,1.49023,
0.460216,0.0210956,1.48888,
0.472481,0.0208209,1.48719,
0.486962,0.0205798,1.48522,
0.501453,0.0204419,1.48334,
0.514034,0.0203993,1.48176,
0.526684,0.0204145,1.48022,
0.542847,0.0204832,1.47822,
0.557014,0.0205804,1.47644,
0.570135,0.0207004,1.47479,
0.583322,0.0208435,1.47316,
0.593023,0.0209555,1.47201,
0.609498,0.0211404,1.47023,
0.628045,0.0213381,1.46841,
0.646817,0.0215635,1.46662,
0.661707,0.0217662,1.46525,
