CFD-a,CFD-a.1,SIM-a,SIM-a.1,CFD-b,CFD-b.1,SIM-b,SIM-b.1,CFD-c,CFD-c.1,SIM-c,SIM-c.1,CFD-d,CFD-d.1,SIM-d,SIM-d.1,CFD-e,CFD-e.1,SIM-e,SIM-e.1
2.24233,518.672105263158,2.24233,473.59325,,,,,,,,,2.31165,542.7063157894737,2.31165,485.93072,2.36192,586.3,2.36192,500.455
2.24326,518.6442105263159,2.24326,473.56479,,,,,,,,,2.31259,542.6578947368421,2.31259,485.89291,2.36286,586.2,2.36286,500.40625
2.2442,518.6163157894737,2.2442,473.53636,,,,,,,,,2.31352,542.6094736842106,2.31352,485.85516,2.3638,586.1,2.3638,500.35756
2.24513,518.5884210526316,2.24513,473.50797,,,,,,,,,2.31445,542.561052631579,2.31445,485.81744,2.36473,586.0,2.36473,500.30893
2.24606,518.5605263157895,2.24606,473.47961,,,,,,,,,2.31539,542.5126315789474,2.31539,485.77978,2.36567,585.9,2.36567,500.26036
2.24699,518.5326315789474,2.24699,473.45129,,,,,,,,,2.31632,542.4642105263158,2.31632,485.74216,2.3666,585.8,2.3666,500.21185
2.24792,518.5047368421053,2.24792,473.42301,,,,,,,,,2.31726,542.4157894736842,2.31726,485.70458,2.36754,585.7,2.36754,500.16339
2.24886,518.4768421052632,2.24886,473.39475,,,,,,,,,2.31819,542.3673684210527,2.31819,485.66705,2.36847,585.6,2.36847,500.11499
2.24979,518.448947368421,2.24979,473.36654,,,,,,,,,2.31912,542.318947368421,2.31912,485.62956,2.36941,585.5,2.36941,500.06664
2.25072,518.421052631579,2.25072,473.33836,,,,,,,,,2.32006,542.2705263157895,2.32006,485.59212,2.37034,585.4,2.37034,500.01836
2.25165,518.3931578947369,2.25165,473.31021,,,,,,,,,2.32099,542.2221052631579,2.32099,485.55473,2.37128,585.3,2.37128,499.97013
2.25259,518.3652631578948,2.25259,473.2821,,,,,,,,,2.32193,542.1736842105263,2.32193,485.51738,2.37221,585.2,2.37221,499.92196
2.25352,518.3373684210527,2.25352,473.25402,,,,,,,,,2.32286,542.1252631578948,2.32286,485.48007,2.37315,585.1,2.37315,499.87384
2.25445,518.3094736842105,2.25445,473.22598,,,,,,,,,2.3238,542.0768421052632,2.3238,485.44281,2.37409,585.0,2.37409,499.82578
2.25538,518.2815789473684,2.25538,473.19797,,,,,,,,,2.32473,542.0284210526316,2.32473,485.4056,2.37502,584.9,2.37502,499.77778
2.25632,518.2536842105263,2.25632,473.17,,,,,,,,,2.32528,541.98,2.32528,485.38701000000003,2.37596,584.8000000000001,2.37596,499.72983
2.25725,518.2257894736842,2.25725,473.14206,,,,,,,,,2.32566,541.9033333333333,2.32566,485.36842,2.37689,584.7,2.37689,499.68194
2.25818,518.1978947368422,2.25818,473.11415,,,,,,,,,2.3266,541.8266666666667,2.3266,485.3313,2.37783,584.6,2.37783,499.63411
2.25911,518.1700000000001,2.25911,473.08628,,,,,,,,,2.32753,541.75,2.32753,485.29421,2.37876,584.5,2.37876,499.58633
2.26005,518.1421052631579,2.26005,473.05845,,,,,,,,,2.32847,541.6733333333334,2.32847,485.25718,2.3797,584.4,2.3797,499.53861
2.26098,518.1142105263158,2.26098,473.03065,,,,,,,,,2.3294,541.5966666666667,2.3294,485.22018,2.38064,584.3000000000001,2.38064,499.49095
2.26191,518.0863157894737,2.26191,473.00288,,,,,,,,,2.33034,541.52,2.33034,485.18323,2.38157,584.2,2.38157,499.44334
2.26284,518.0584210526316,2.26284,472.97515,,,,,,,,,2.33127,541.4433333333334,2.33127,485.14633,2.38251,584.1,2.38251,499.39578
2.26378,518.0305263157895,2.26378,472.94745,,,,,,,,,2.33221,541.3666666666667,2.33221,485.10947,2.38344,584.0,2.38344,499.34829
2.26471,518.0026315789473,2.26471,472.91979,,,,,,,,,2.33314,541.29,2.33314,485.07265,2.38438,583.9,2.38438,499.30084
2.26564,517.9747368421052,2.26564,472.89216,,,,,,,,,2.33408,541.2133333333334,2.33408,485.03588,2.38531,583.8000000000001,2.38531,499.25346
2.26658,517.9468421052632,2.26658,472.86456,,,,,,,,,2.33501,541.1366666666667,2.33501,484.99915,2.38625,583.7,2.38625,499.20613
2.26751,517.9189473684211,2.26751,472.837,,,,,,,,,2.33594,541.0600000000001,2.33594,484.96247,2.38686,583.6,2.38686,499.18249
2.26844,517.891052631579,2.26844,472.80947,,,,,,,,,2.33688,540.9833333333333,2.33688,484.92583,2.38719,583.5422857142858,2.38719,499.15885
2.26937,517.8631578947368,2.26937,472.78197,,,,,,,,,2.33781,540.9066666666666,2.33781,484.88923,2.38812,583.4845714285715,2.38812,499.11163
2.27031,517.8352631578947,2.27031,472.75451,,,,,,,,,2.33875,540.83,2.33875,484.85268,2.38906,583.4268571428572,2.38906,499.06447
2.27124,517.8073684210526,2.27124,472.72708,,,,,,,,,2.33968,540.7533333333333,2.33968,484.81617,2.38999,583.3691428571428,2.38999,499.01736
2.27217,517.7794736842105,2.27217,472.69969,,,,,,,,,2.34062,540.6766666666667,2.34062,484.7797,2.39093,583.3114285714286,2.39093,498.9703
2.27311,517.7515789473684,2.27311,472.67233,,,,,,,,,2.34155,540.6,2.34155,484.74328,2.39187,583.2537142857143,2.39187,498.9233
2.27404,517.7236842105264,2.27404,472.645,,,,,,,,,2.34249,540.5233333333333,2.34249,484.7069,2.3928,583.196,2.3928,498.87636
2.27497,517.6957894736842,2.27497,472.61771,,,,,,,,,2.34342,540.4466666666667,2.34342,484.67056,2.39374,583.1382857142858,2.39374,498.82947
2.27591,517.6678947368421,2.27591,472.59045,,,,,,,,,2.34436,540.37,2.34436,484.63427,2.39468,583.0805714285715,2.39468,498.78264
2.27614,517.64,2.27614,472.57683499999996,,,,,,,,,2.34529,540.2933333333334,2.34529,484.59802,2.39561,583.0228571428572,2.39561,498.73586
2.27684,517.5886486486486,2.27684,472.56322,,,,,,,,,2.34623,540.2166666666667,2.34623,484.56182,2.39655,582.9651428571428,2.39655,498.68913
2.27777,517.5372972972973,2.27777,472.53603,,,,,,,,,2.34716,540.14,2.34716,484.52565,2.39748,582.9074285714286,2.39748,498.64246
2.27871,517.4859459459459,2.27871,472.50887,,,,,,,,,2.3481,540.0633333333334,2.3481,484.48953,2.39842,582.8497142857143,2.39842,498.59584
2.27964,517.4345945945946,2.27964,472.48175,,,,,,,,,2.34903,539.9866666666667,2.34903,484.45346,2.39936,582.792,2.39936,498.54928
2.28057,517.3832432432432,2.28057,472.45465,,,,,,,,,2.34997,539.9100000000001,2.34997,484.41742,2.40029,582.7342857142858,2.40029,498.50277
2.28151,517.3318918918919,2.28151,472.42759,,,,,,,,,2.3509,539.8333333333334,2.3509,484.38143,2.40123,582.6765714285715,2.40123,498.45632
2.28244,517.2805405405405,2.28244,472.40057,,,,,,,,,2.35184,539.7566666666667,2.35184,484.34548,2.40217,582.6188571428572,2.40217,498.40992
2.28337,517.2291891891891,2.28337,472.37357,,,,,,,,,2.35277,539.6800000000001,2.35277,484.30958,2.4031,582.5611428571428,2.4031,498.36357
2.28431,517.1778378378378,2.28431,472.34661,,,,,,,,,2.35371,539.6033333333334,2.35371,484.27371,2.40404,582.5034285714286,2.40404,498.31728
2.28524,517.1264864864864,2.28524,472.31968,,,,,,,,,2.35464,539.5266666666666,2.35464,484.23789,2.40497,582.4457142857143,2.40497,498.27104
2.28617,517.0751351351352,2.28617,472.29279,,,,,,,,,2.35558,539.45,2.35558,484.20211,2.40591,582.388,2.40591,498.22486
2.28711,517.0237837837838,2.28711,472.26592,,,,,,,,,2.35651,539.3733333333333,2.35651,484.16638,2.40685,582.3302857142858,2.40685,498.17873
2.28804,516.9724324324325,2.28804,472.23909,,,,,,,,,2.35745,539.2966666666667,2.35745,484.13069,2.40778,582.2725714285715,2.40778,498.13265
2.28897,516.9210810810811,2.28897,472.2123,,,,,,,,,2.35826,539.22,2.35826,484.11286,2.40872,582.2148571428572,2.40872,498.08663
2.28991,516.8697297297297,2.28991,472.18553,,,,,,,,,2.35839,539.1286486486487,2.35839,484.09503,2.40966,582.1571428571428,2.40966,498.04066
2.29084,516.8183783783784,2.29084,472.1588,,,,,,,,,2.35932,539.0372972972973,2.35932,484.05943,2.41059,582.0994285714286,2.41059,497.99474
2.29177,516.767027027027,2.29177,472.1321,,,,,,,,,2.36026,538.9459459459459,2.36026,484.02386,2.41153,582.0417142857143,2.41153,497.94888
2.29271,516.7156756756757,2.29271,472.10543,,,,,,,,,2.36119,538.8545945945946,2.36119,483.98833,2.41247,581.984,2.41247,497.90307
2.29364,516.6643243243243,2.29364,472.0788,,,,,,,,,2.36213,538.7632432432433,2.36213,483.95285,2.4134,581.9262857142858,2.4134,497.85731
2.29457,516.612972972973,2.29457,472.0522,,,,,,,,,2.36306,538.671891891892,2.36306,483.91741,2.41434,581.8685714285715,2.41434,497.81161
2.29551,516.5616216216216,2.29551,472.02563,,,,,,,,,2.364,538.5805405405406,2.364,483.88201,2.41528,581.8108571428572,2.41528,497.76596
2.29644,516.5102702702703,2.29644,471.99909,,,,,,,,,2.36493,538.4891891891892,2.36493,483.84666,2.41621,581.7531428571428,2.41621,497.72036
2.29738,516.4589189189189,2.29738,471.97258,,,,,,,,,2.36587,538.3978378378379,2.36587,483.81134,2.41715,581.6954285714286,2.41715,497.67482
2.29831,516.4075675675675,2.29831,471.94611,,,,,,,,,2.3668,538.3064864864865,2.3668,483.77607,2.41809,581.6377142857143,2.41809,497.62932
2.29924,516.3562162162162,2.29924,471.91967,,,,,,,,,2.36774,538.2151351351351,2.36774,483.74084,2.41885,581.58,2.41885,497.606605
2.30018,516.3048648648648,2.30018,471.89326,,,,,,,,,2.36868,538.1237837837838,2.36868,483.70565,2.41902,581.4794285714286,2.41902,497.58389
2.30111,516.2535135135136,2.30111,471.86689,,,,,,,,,2.36961,538.0324324324324,2.36961,483.6705,2.41996,581.3788571428572,2.41996,497.5385
2.30205,516.2021621621622,2.30205,471.84054,,,,,,,,,2.37055,537.9410810810812,2.37055,483.63539,2.4209,581.2782857142857,2.4209,497.49316
2.30298,516.1508108108109,2.30298,471.81423,,,,,,,,,2.37148,537.8497297297298,2.37148,483.60032,2.42184,581.1777142857143,2.42184,497.44788
2.30391,516.0994594594595,2.30391,471.78795,,,,,,,,,2.37242,537.7583783783784,2.37242,483.5653,2.42277,581.0771428571429,2.42277,497.40265
2.30485,516.0481081081081,2.30485,471.7617,,,,,,,,,2.37335,537.6670270270271,2.37335,483.53032,2.42371,580.9765714285714,2.42371,497.35747
2.30578,515.9967567567568,2.30578,471.73548,,,,,,,,,2.37429,537.5756756756757,2.37429,483.49537,2.42465,580.876,2.42465,497.31235
2.30672,515.9454054054054,2.30672,471.70929,,,,,,,,,2.37523,537.4843243243243,2.37523,483.46047,2.42558,580.7754285714286,2.42558,497.26727
2.30765,515.8940540540541,2.30765,471.68314,,,,,,,,,2.37616,537.392972972973,2.37616,483.42561,2.42652,580.6748571428571,2.42652,497.22225
