cfd-a,cfd-a,sim-a,sim-a,cfd-b,cfd-b,sim-b,sim-b,cfd-c,cfd-c,sim-c,sim-c,cfd-d,cfd-d,sim-d,sim-d,cfd-e,cfd-e,sim-e,sim-e
,,0.44518,0.08975,,,0.95622,0.02832,,,1.55143,0.00183,,,0.47686,0.12535,,,0.50197,0.16039
,,0.4459,0.08974,,,0.95791,0.02832,,,1.55414,0.00183,,,0.47761,0.12535,,,0.50273,0.16039
,,0.44662,0.08972,,,0.95961,0.02831,,,1.55686,0.00183,,,0.47835,0.12534,,,0.5035,0.1604
,,0.44734,0.0897,,,0.9613,0.0283,,,1.55957,0.00182,,,0.4791,0.12533,,,0.50426,0.1604
,,0.44806,0.08969,,,0.963,0.02829,,,1.56229,0.00182,,,0.47984,0.12533,,,0.50503,0.16041
,,0.44878,0.08967,,,0.9647,0.02829,,,1.565,0.00182,,,0.48059,0.12532,,,0.5058,0.16041
,,0.4495,0.08965,,,0.96639,0.02828,,,1.56772,0.00181,,,0.48134,0.12531,,,0.50656,0.16041
,,0.45022,0.08964,,,0.96809,0.02827,,,1.57043,0.00181,,,0.48208,0.12531,,,0.50733,0.16042
,,0.45094,0.08962,,,0.96979,0.02827,,,1.57315,0.00181,,,0.48283,0.1253,,,0.5081,0.16042
,,0.45166,0.0896,,,0.97149,0.02826,,,1.57587,0.0018,,,0.48358,0.12529,,,0.50887,0.16043
,,0.45238,0.08959,,,0.97319,0.02825,,,1.57859,0.0018,,,0.48432,0.12529,,,0.50963,0.16043
,,0.4531,0.08957,,,0.97488,0.02824,,,1.5813,0.0018,,,0.48507,0.12528,,,0.5104,0.16044
,,0.45382,0.08956,,,0.97658,0.02824,,,1.58402,0.00179,,,0.48582,0.12528,,,0.51117,0.16044
,,0.45454,0.08954,,,0.97828,0.02823,,,1.58674,0.00179,,,0.48657,0.12527,,,0.51194,0.16044
,,0.45526,0.08952,,,0.97999,0.02822,,,1.58946,0.00179,,,0.48732,0.12526,,,0.51271,0.16045
,,0.45599,0.08951,,,0.98169,0.02822,,,1.59218,0.00179,,,0.48806,0.12526,,,0.51348,0.16045
,,0.45671,0.08949,,,0.98339,0.02821,,,1.5949,0.00178,,,0.48881,0.12525,,,0.51424,0.16046
,,0.45743,0.08948,,,0.98509,0.0282,,,1.59762,0.00178,,,0.48956,0.12524,,,0.51501,0.16046
,,0.45815,0.08946,,,0.98679,0.0282,,,1.60035,0.00178,,,0.49031,0.12524,,,0.51578,0.16046
,,0.45888,0.08944,,,0.9885,0.02819,,,1.60307,0.00177,,,0.49106,0.12523,,,0.51655,0.16047
,,0.4596,0.08943,,,0.9902,0.02818,,,1.60579,0.00177,,,0.49181,0.12523,,,0.51732,0.16047
,,0.46033,0.08941,,,0.99191,0.02818,,,1.60851,0.00177,,,0.49256,0.12522,,,0.51809,0.16048
,,0.46105,0.0894,,,0.99361,0.02817,,,1.61124,0.00177,,,0.49331,0.12521,,,0.51886,0.16048
,,0.46178,0.08938,,,0.99532,0.02816,,,1.61396,0.00176,,,0.49406,0.12521,,,0.51963,0.16049
,,0.4625,0.08937,,,0.99702,0.02816,,,1.61669,0.00176,,,0.49481,0.1252,,,0.52041,0.16049
,,0.46323,0.08935,,,0.99873,0.02815,,,1.61941,0.00176,,,0.49556,0.1252,,,0.52118,0.16049
,,0.46395,0.08934,,,1.00043,0.02814,,,1.62214,0.00175,,,0.49631,0.12519,,,0.52195,0.1605
,,0.46468,0.08932,,,1.00214,0.02814,,,1.62486,0.00175,,,0.49707,0.12518,,,0.52272,0.1605
,,0.4654,0.0893,,,1.00385,0.02813,,,1.62759,0.00175,,,0.49782,0.12518,,,0.52349,0.16051
,,0.46613,0.08929,,,1.00556,0.02812,,,1.63031,0.00175,,,0.49857,0.12517,,,0.52426,0.16051
,,0.46686,0.08927,,,1.00727,0.02812,,,1.63304,0.00174,,,0.49932,0.12517,,,0.52503,0.16051
,,0.46758,0.08926,,,1.00898,0.02811,,,1.63577,0.00174,,,0.50007,0.12516,,,0.52581,0.16052
,,0.46831,0.08924,,,1.01069,0.0281,,,1.6385,0.00174,,,0.50083,0.12515,,,0.52658,0.16052
,,0.46904,0.08923,,,1.0124,0.0281,,,1.64123,0.00174,,,0.50158,0.12515,,,0.52735,0.16053
,,0.46977,0.08921,,,1.01411,0.02809,,,1.64395,0.00173,,,0.50233,0.12514,,,0.52812,0.16053
,,0.4705,0.0892,,,1.01582,0.02808,,,1.64668,0.00173,,,0.50309,0.12514,,,0.5289,0.16053
,,0.47122,0.08918,,,1.01753,0.02808,,,1.64941,0.00173,,,0.50384,0.12513,,,0.52967,0.16054
,,0.47195,0.08917,,,1.01924,0.02807,,,1.65214,0.00173,,,0.50459,0.12513,,,0.53044,0.16054
,,0.47268,0.08915,,,1.02095,0.02807,,,1.65487,0.00172,,,0.50535,0.12512,,,0.53122,0.16055
,,0.47341,0.08914,,,1.02267,0.02806,,,1.65761,0.00172,,,0.5061,0.12511,,,0.53199,0.16055
,,0.47414,0.08912,,,1.02438,0.02805,,,1.66034,0.00172,,,0.50686,0.12511,,,0.53277,0.16055
,,0.47487,0.08911,,,1.02609,0.02805,,,1.66307,0.00171,,,0.50761,0.1251,,,0.53354,0.16056
,,0.4756,0.08909,,,1.02781,0.02804,,,1.6658,0.00171,,,0.50837,0.1251,,,0.53431,0.16056
,,0.47633,0.08908,,,1.02952,0.02804,,,1.66853,0.00171,,,0.50912,0.12509,,,0.53509,0.16057
,,0.47706,0.08906,,,1.03124,0.02803,,,1.67127,0.00171,,,0.50988,0.12509,,,0.53586,0.16057
,,0.47779,0.08905,,,1.03295,0.02802,,,1.674,0.0017,,,0.51063,0.12508,,,0.53664,0.16057
,,0.47853,0.08903,,,1.03467,0.02802,,,1.67674,0.0017,,,0.51139,0.12507,,,0.53741,0.16058
,,0.47926,0.08902,,,1.03639,0.02801,,,1.67947,0.0017,,,0.51215,0.12507,,,0.53819,0.16058
,,0.47999,0.08901,,,1.0381,0.02801,,,1.68221,0.0017,,,0.5129,0.12506,,,0.53897,0.16059
,,0.48072,0.08899,,,1.03982,0.028,,,1.68494,0.00169,,,0.51366,0.12506,,,0.53974,0.16059
,,0.48146,0.08898,,,1.04154,0.02799,,,1.68768,0.00169,,,0.51442,0.12505,,,0.54052,0.16059
,,0.48219,0.08896,,,1.04326,0.02799,,,1.69041,0.00169,,,0.51518,0.12505,,,0.54129,0.1606
,,0.48292,0.08895,,,1.04498,0.02798,,,1.69315,0.00169,,,0.51593,0.12504,,,0.54207,0.1606
,,0.48366,0.08893,,,1.04669,0.02798,,,1.69589,0.00168,,,0.51669,0.12504,,,0.54285,0.16061
,,0.48439,0.08892,,,1.04841,0.02797,,,1.69862,0.00168,,,0.51745,0.12503,,,0.54362,0.16061
,,0.48512,0.08891,,,1.05013,0.02796,,,1.70136,0.00168,,,0.51821,0.12502,,,0.5444,0.16061
,,0.48586,0.08889,,,1.05186,0.02796,,,1.7041,0.00168,,,0.51897,0.12502,,,0.54518,0.16062
,,0.48659,0.08888,,,1.05358,0.02795,,,1.70684,0.00168,,,0.51972,0.12501,,,0.54596,0.16062
,,0.48733,0.08886,,,1.0553,0.02795,,,1.70958,0.00167,,,0.52048,0.12501,,,0.54673,0.16063
,,0.48806,0.08885,,,1.05702,0.02794,,,1.71232,0.00167,,,0.52124,0.125,,,0.54751,0.16063
,,0.4888,0.08884,,,1.05874,0.02794,,,1.71506,0.00167,,,0.522,0.125,,,0.54829,0.16063
,,0.48953,0.08882,,,1.06046,0.02793,,,1.7178,0.00167,,,0.52276,0.12499,,,0.54907,0.16064
,,0.49027,0.08881,,,1.06219,0.02793,,,1.72054,0.00166,,,0.52352,0.12499,,,0.54985,0.16064
,,0.49101,0.08879,,,1.06391,0.02792,,,1.72328,0.00166,,,0.52428,0.12498,,,0.55063,0.16065
,,0.49174,0.08878,,,1.06564,0.02791,,,1.72602,0.00166,,,0.52504,0.12498,,,0.5514,0.16065
,,0.49248,0.08877,,,1.06736,0.02791,,,1.72876,0.00166,,,0.5258,0.12497,,,0.55218,0.16065
,,0.49322,0.08875,,,1.06909,0.0279,,,1.73151,0.00165,,,0.52656,0.12497,,,0.55296,0.16066
,,0.49396,0.08874,,,1.07081,0.0279,,,1.73425,0.00165,,,0.52733,0.12496,,,0.55374,0.16066
,,0.49469,0.08872,,,1.07254,0.02789,,,1.73699,0.00165,,,0.52809,0.12496,,,0.55452,0.16066
,,0.49543,0.08871,,,1.07426,0.02789,,,1.73974,0.00165,,,0.52885,0.12495,,,0.5553,0.16067
,,0.49617,0.0887,,,1.07599,0.02788,,,1.74248,0.00165,,,0.52961,0.12495,,,0.55608,0.16067
,,0.49691,0.08868,,,1.07772,0.02788,,,1.74523,0.00164,,,0.53037,0.12494,,,0.55686,0.16068
,,0.49765,0.08867,,,1.07944,0.02787,,,1.74797,0.00164,,,0.53114,0.12494,,,0.55764,0.16068
,,0.49839,0.08866,,,1.08117,0.02787,,,1.75072,0.00164,,,0.5319,0.12493,,,0.55842,0.16068
,,0.49913,0.08864,,,1.0829,0.02786,,,1.75346,0.00164,,,0.53266,0.12493,,,0.5592,0.16069
,,0.49987,0.08863,,,1.08463,0.02786,,,1.75621,0.00163,,,0.53342,0.12492,,,0.55999,0.16069
,,0.50061,0.08862,,,1.08636,0.02785,,,1.75895,0.00163,,,0.53419,0.12492,,,0.56077,0.1607
,,0.50135,0.0886,,,1.08809,0.02785,,,1.7617,0.00163,,,0.53495,0.12491,,,0.56155,0.1607
,,0.50209,0.08859,,,1.08982,0.02784,,,1.76445,0.00163,,,0.53571,0.12491,,,0.56233,0.1607
,,0.50283,0.08858,,,1.09155,0.02783,,,1.7672,0.00163,,,0.53648,0.1249,,,0.56311,0.16071
,,0.50357,0.08856,,,1.09328,0.02783,,,1.76994,0.00162,,,0.53724,0.1249,,,0.56389,0.16071
,,0.50431,0.08855,,,1.09501,0.02782,,,1.77269,0.00162,,,0.53801,0.12489,,,0.56468,0.16072
,,0.50505,0.08854,,,1.09674,0.02782,,,1.77544,0.00162,,,0.53877,0.12489,,,0.56546,0.16072
,,0.5058,0.08853,,,1.09847,0.02781,,,1.77819,0.00162,,,0.53954,0.12488,,,0.56624,0.16072
,,0.50654,0.08851,,,1.10021,0.02781,,,1.78094,0.00162,,,0.5403,0.12488,,,0.56703,0.16073
,,0.50728,0.0885,,,1.10194,0.0278,,,1.78369,0.00161,,,0.54107,0.12487,,,0.56781,0.16073
,,0.50802,0.08849,,,1.10367,0.0278,,,1.78644,0.00161,,,0.54183,0.12487,,,0.56859,0.16073
,,0.50877,0.08847,,,1.10541,0.02779,,,1.78919,0.00161,,,0.5426,0.12486,,,0.56938,0.16074
,,0.50951,0.08846,,,1.10714,0.02779,,,1.79194,0.00161,,,0.54337,0.12486,,,0.57016,0.16074
,,0.51025,0.08845,,,1.10887,0.02778,,,1.79469,0.0016,,,0.54413,0.12485,,,0.57094,0.16075
,,0.511,0.08844,,,1.11061,0.02778,,,1.79745,0.0016,,,0.5449,0.12485,,,0.57173,0.16075
,,0.51174,0.08842,,,1.11235,0.02778,,,1.8002,0.0016,,,0.54566,0.12484,,,0.57251,0.16075
,,0.51249,0.08841,,,1.11408,0.02777,,,1.80295,0.0016,,,0.54643,0.12484,,,0.5733,0.16076
,,0.51323,0.0884,,,1.11582,0.02777,,,1.8057,0.0016,,,0.5472,0.12483,,,0.57408,0.16076
,,0.51398,0.08838,,,1.11755,0.02776,,,1.80846,0.00159,,,0.54797,0.12483,,,0.57487,0.16077
,,0.51472,0.08837,,,1.11929,0.02776,,,1.81121,0.00159,,,0.54873,0.12482,,,0.57565,0.16077
,,0.51547,0.08836,,,1.12103,0.02775,,,1.81396,0.00159,,,0.5495,0.12482,,,0.57644,0.16077
,,0.51621,0.08835,,,1.12277,0.02775,,,1.81672,0.00159,,,0.55027,0.12481,,,0.57722,0.16078
,,0.51696,0.08834,,,1.1245,0.02774,,,1.81947,0.00159,,,0.55104,0.12481,,,0.57801,0.16078
,,0.51771,0.08832,,,1.12624,0.02774,,,1.82223,0.00158,,,0.55181,0.1248,,,0.57879,0.16078
,,0.51845,0.08831,,,1.12798,0.02773,,,1.82498,0.00158,,,0.55258,0.1248,,,0.57958,0.16079
,,0.5192,0.0883,,,1.12972,0.02773,,,1.82774,0.00158,,,0.55335,0.1248,,,0.58037,0.16079
,,0.51995,0.08829,,,1.13146,0.02772,,,1.8305,0.00158,,,0.55411,0.12479,,,0.58115,0.1608
,,0.5207,0.08827,,,1.1332,0.02772,,,1.83325,0.00158,,,0.55488,0.12479,,,0.58194,0.1608
,,0.52144,0.08826,,,1.13494,0.02771,,,1.83601,0.00158,,,0.55565,0.12478,,,0.58273,0.1608
,,0.52219,0.08825,,,1.13668,0.02771,,,1.83877,0.00157,,,0.55642,0.12478,,,0.58351,0.16081
,,0.52294,0.08824,,,1.13842,0.0277,,,1.84153,0.00157,,,0.55719,0.12477,,,0.5843,0.16081
,,0.52369,0.08823,,,1.14016,0.0277,,,1.84428,0.00157,,,0.55797,0.12477,,,0.58509,0.16081
,,0.52444,0.08821,,,1.14191,0.0277,,,1.84704,0.00157,,,0.55874,0.12476,,,0.58588,0.16082
,,0.52519,0.0882,,,1.14365,0.02769,,,1.8498,0.00157,,,0.55951,0.12476,,,0.58666,0.16082
,,0.52594,0.08819,,,1.14539,0.02769,,,1.85256,0.00156,,,0.56028,0.12476,,,0.58745,0.16083
,,0.52669,0.08818,,,1.14713,0.02768,,,1.85532,0.00156,,,0.56105,0.12475,,,0.58824,0.16083
,,0.52744,0.08817,,,1.14888,0.02768,,,1.85808,0.00156,,,0.56182,0.12475,,,0.58903,0.16083
,,0.52819,0.08815,,,1.15062,0.02767,,,1.86084,0.00156,,,0.56259,0.12474,,,0.58982,0.16084
,,0.52894,0.08814,,,1.15237,0.02767,,,1.8636,0.00156,,,0.56336,0.12474,,,0.59061,0.16084
,,0.52969,0.08813,,,1.15411,0.02767,,,1.86636,0.00155,,,0.56414,0.12473,,,0.59139,0.16085
,,0.53044,0.08812,,,1.15585,0.02766,,,1.86912,0.00155,,,0.56491,0.12473,,,0.59218,0.16085
,,0.53119,0.08811,,,1.1576,0.02766,,,1.87188,0.00155,,,0.56568,0.12473,,,0.59297,0.16085
,,0.53194,0.08809,,,1.15935,0.02765,,,1.87465,0.00155,,,0.56646,0.12472,,,0.59376,0.16086
,,0.5327,0.08808,,,1.16109,0.02765,,,1.87741,0.00155,,,0.56723,0.12472,,,0.59455,0.16086
,,0.53345,0.08807,,,1.16284,0.02764,,,1.88017,0.00155,,,0.568,0.12471,,,0.59534,0.16086
,,0.5342,0.08806,,,1.16459,0.02764,,,1.88293,0.00154,,,0.56878,0.12471,,,0.59613,0.16087
,,0.53495,0.08805,,,1.16633,0.02764,,,1.8857,0.00154,,,0.56955,0.1247,,,0.59692,0.16087
,,0.53571,0.08804,,,1.16808,0.02763,,,1.88846,0.00154,,,0.57032,0.1247,,,0.59771,0.16088
,,0.53646,0.08803,,,1.16983,0.02763,,,1.89123,0.00154,,,0.5711,0.1247,,,0.5985,0.16088
,,0.53721,0.08801,,,1.17158,0.02762,,,1.89399,0.00154,,,0.57187,0.12469,,,0.5993,0.16088
,,0.53797,0.088,,,1.17333,0.02762,,,1.89676,0.00154,,,0.57265,0.12469,,,0.60009,0.16089
,,0.53872,0.08799,,,1.17507,0.02761,,,1.89952,0.00153,,,0.57342,0.12468,,,0.60088,0.16089
,,0.53948,0.08798,,,1.17682,0.02761,,,1.90229,0.00153,,,0.5742,0.12468,,,0.60167,0.1609
,,0.54023,0.08797,,,1.17857,0.02761,,,1.90505,0.00153,,,0.57497,0.12468,,,0.60246,0.1609
,,0.54098,0.08796,,,1.18032,0.0276,,,1.90782,0.00153,,,0.57575,0.12467,,,0.60325,0.1609
,,0.54174,0.08795,,,1.18207,0.0276,,,1.91058,0.00153,,,0.57652,0.12467,,,0.60404,0.16091
,,0.5425,0.08794,,,1.18382,0.02759,,,1.91335,0.00153,,,0.5773,0.12466,,,0.60484,0.16091
,,0.54325,0.08792,,,1.18558,0.02759,,,1.91612,0.00152,,,0.57808,0.12466,,,0.60563,0.16091
,,0.54401,0.08791,,,1.18733,0.02759,,,1.91889,0.00152,,,0.57885,0.12466,,,0.60642,0.16092
,,0.54476,0.0879,,,1.18908,0.02758,,,1.92165,0.00152,,,0.57963,0.12465,,,0.60721,0.16092
,,0.54552,0.08789,,,1.19083,0.02758,,,1.92442,0.00152,,,0.58041,0.12465,,,0.60801,0.16093
,,0.54628,0.08788,,,1.19258,0.02757,,,1.92719,0.00152,,,0.58118,0.12464,,,0.6088,0.16093
,,0.54703,0.08787,,,1.19434,0.02757,,,1.92996,0.00152,,,0.58196,0.12464,,,0.60959,0.16093
,,0.54779,0.08786,,,1.19609,0.02757,,,1.93273,0.00151,,,0.58274,0.12464,,,0.61039,0.16094
,,0.54855,0.08785,,,1.19784,0.02756,,,1.9355,0.00151,,,0.58352,0.12463,,,0.61118,0.16094
,,0.54931,0.08784,,,1.1996,0.02756,,,1.93827,0.00151,,,0.58429,0.12463,,,0.61198,0.16094
,,0.55006,0.08783,,,1.20135,0.02755,,,1.94104,0.00151,,,0.58507,0.12462,,,0.61277,0.16095
,,0.55082,0.08782,,,1.20311,0.02755,,,1.94381,0.00151,,,0.58585,0.12462,,,0.61356,0.16095
,,0.55158,0.0878,,,1.20486,0.02755,,,1.94658,0.00151,,,0.58663,0.12462,,,0.61436,0.16096
,,0.55234,0.08779,,,1.20662,0.02754,,,1.94935,0.0015,,,0.58741,0.12461,,,0.61515,0.16096
,,0.5531,0.08778,,,1.20837,0.02754,,,1.95212,0.0015,,,0.58819,0.12461,,,0.61595,0.16096
,,0.55386,0.08777,,,1.21013,0.02754,,,1.95489,0.0015,,,0.58897,0.12461,,,0.61674,0.16097
,,0.55462,0.08776,,,1.21189,0.02753,,,1.95766,0.0015,,,0.58975,0.1246,,,0.61754,0.16097
,,0.55538,0.08775,,,1.21364,0.02753,,,1.96044,0.0015,,,0.59053,0.1246,,,0.61833,0.16098
,,0.55614,0.08774,,,1.2154,0.02752,,,1.96321,0.0015,,,0.59131,0.12459,,,0.61913,0.16098
,,0.5569,0.08773,,,1.21716,0.02752,,,1.96598,0.00149,,,0.59209,0.12459,,,0.61992,0.16098
,,0.55766,0.08772,,,1.21892,0.02752,,,1.96876,0.00149,,,0.59287,0.12459,,,0.62072,0.16099
,,0.55842,0.08771,,,1.22067,0.02751,,,1.97153,0.00149,,,0.59365,0.12458,,,0.62152,0.16099
,,0.55918,0.0877,,,1.22243,0.02751,,,1.9743,0.00149,,,0.59443,0.12458,,,0.62231,0.16099
,,0.55994,0.08769,,,1.22419,0.02751,,,1.97708,0.00149,,,0.59521,0.12458,,,0.62311,0.161
,,0.5607,0.08768,,,1.22595,0.0275,,,1.97985,0.00149,,,0.59599,0.12457,,,0.62391,0.161
,,0.56146,0.08767,,,1.22771,0.0275,,,1.98263,0.00149,,,0.59677,0.12457,,,0.6247,0.16101
,,0.56223,0.08766,,,1.22947,0.02749,,,1.9854,0.00148,,,0.59755,0.12457,,,0.6255,0.16101
,,0.56299,0.08765,,,1.23123,0.02749,,,1.98818,0.00148,,,0.59834,0.12456,,,0.6263,0.16101
,,0.56375,0.08764,,,1.23299,0.02749,,,1.99095,0.00148,,,0.59912,0.12456,,,0.6271,0.16102
,,0.56451,0.08763,,,1.23475,0.02748,,,1.99373,0.00148,,,0.5999,0.12456,,,0.62789,0.16102
,,0.56528,0.08762,,,1.23651,0.02748,,,1.99651,0.00148,,,0.60068,0.12455,,,0.62869,0.16102
,,0.56604,0.08761,,,1.23827,0.02748,,,1.99928,0.00148,,,0.60147,0.12455,,,0.62949,0.16103
,,0.5668,0.0876,,,1.24004,0.02747,,,2.00206,0.00148,,,0.60225,0.12455,,,0.63029,0.16103
,,0.56757,0.08759,,,1.2418,0.02747,,,2.00484,0.00147,,,0.60303,0.12454,,,0.63109,0.16104
,,0.56833,0.08758,,,1.24356,0.02747,,,2.00761,0.00147,,,0.60381,0.12454,,,0.63188,0.16104
,,0.5691,0.08757,,,1.24532,0.02746,,,2.01039,0.00147,,,0.6046,0.12453,,,0.63268,0.16104
,,0.56986,0.08756,,,1.24709,0.02746,,,2.01317,0.00147,,,0.60538,0.12453,,,0.63348,0.16105
,,0.57063,0.08755,,,1.24885,0.02746,,,2.01595,0.00147,,,0.60617,0.12453,,,0.63428,0.16105
,,0.57139,0.08754,,,1.25061,0.02745,,,2.01873,0.00147,,,0.60695,0.12452,,,0.63508,0.16106
,,0.57216,0.08753,,,1.25238,0.02745,,,2.02151,0.00147,,,0.60774,0.12452,,,0.63588,0.16106
,,0.57292,0.08752,,,1.25414,0.02745,,,2.02429,0.00146,,,0.60852,0.12452,,,0.63668,0.16106
,,0.57369,0.08751,,,1.25591,0.02744,,,2.02707,0.00146,,,0.6093,0.12451,,,0.63748,0.16107
,,0.57445,0.0875,,,1.25767,0.02744,,,2.02985,0.00146,,,0.61009,0.12451,,,0.63828,0.16107
,,0.57522,0.08749,,,1.25944,0.02744,,,2.03263,0.00146,,,0.61087,0.12451,,,0.63908,0.16107
,,0.57599,0.08748,,,1.2612,0.02743,,,2.03541,0.00146,,,0.61166,0.1245,,,0.63988,0.16108
,,0.57675,0.08747,,,1.26297,0.02743,,,2.03819,0.00146,,,0.61245,0.1245,,,0.64068,0.16108
,,0.57752,0.08746,,,1.26474,0.02743,,,2.04097,0.00146,,,0.61323,0.1245,,,0.64148,0.16109
,,0.57829,0.08745,,,1.2665,0.02742,,,2.04375,0.00145,,,0.61402,0.1245,,,0.64228,0.16109
,,0.57905,0.08744,,,1.26827,0.02742,,,2.04653,0.00145,,,0.6148,0.12449,,,0.64308,0.16109
,,0.57982,0.08743,,,1.27004,0.02742,,,2.04932,0.00145,,,0.61559,0.12449,,,0.64388,0.1611
,,0.58059,0.08742,,,1.2718,0.02741,,,2.0521,0.00145,,,0.61638,0.12449,,,0.64468,0.1611
,,0.58136,0.08741,,,1.27357,0.02741,,,2.05488,0.00145,,,0.61716,0.12448,,,0.64549,0.1611
,,0.58213,0.0874,,,1.27534,0.02741,,,2.05766,0.00145,,,0.61795,0.12448,,,0.64629,0.16111
,,0.5829,0.08739,,,1.27711,0.0274,,,2.06045,0.00145,,,0.61874,0.12448,,,0.64709,0.16111
,,0.58367,0.08738,,,1.27888,0.0274,,,2.06323,0.00144,,,0.61953,0.12447,,,0.64789,0.16112
,,0.58443,0.08738,,,1.28065,0.0274,,,2.06601,0.00144,,,0.62031,0.12447,,,0.64869,0.16112
,,0.5852,0.08737,,,1.28242,0.02739,,,2.0688,0.00144,,,0.6211,0.12447,,,0.6495,0.16112
,,0.58597,0.08736,,,1.28419,0.02739,,,2.07158,0.00144,,,0.62189,0.12446,,,0.6503,0.16113
,,0.58674,0.08735,,,1.28596,0.02739,,,2.07437,0.00144,,,0.62268,0.12446,,,0.6511,0.16113
,,0.58751,0.08734,,,1.28773,0.02738,,,2.07715,0.00144,,,0.62347,0.12446,,,0.65191,0.16114
,,0.58828,0.08733,,,1.2895,0.02738,,,2.07994,0.00144,,,0.62426,0.12446,,,0.65271,0.16114
,,0.58906,0.08732,,,1.29127,0.02738,,,2.08272,0.00144,,,0.62505,0.12445,,,0.65351,0.16114
,,0.58983,0.08731,,,1.29304,0.02737,,,2.08551,0.00143,,,0.62583,0.12445,,,0.65432,0.16115
,,0.5906,0.0873,,,1.29481,0.02737,,,2.0883,0.00143,,,0.62662,0.12445,,,0.65512,0.16115
,,0.59137,0.08729,,,1.29658,0.02737,,,2.09108,0.00143,,,0.62741,0.12444,,,0.65592,0.16115
,,0.59214,0.08728,,,1.29836,0.02737,,,2.09387,0.00143,,,0.6282,0.12444,,,0.65673,0.16116
,,0.59291,0.08728,,,1.30013,0.02736,,,2.09666,0.00143,,,0.62899,0.12444,,,0.65753,0.16116
,,0.59368,0.08727,,,1.3019,0.02736,,,2.09944,0.00143,,,0.62978,0.12443,,,0.65834,0.16117
,,0.59446,0.08726,,,1.30368,0.02736,,,2.10223,0.00143,,,0.63057,0.12443,,,0.65914,0.16117
,,0.59523,0.08725,,,1.30545,0.02735,,,2.10502,0.00143,,,0.63136,0.12443,,,0.65995,0.16117
,,0.596,0.08724,,,1.30722,0.02735,,,2.10781,0.00142,,,0.63216,0.12443,,,0.66075,0.16118
,,0.59678,0.08723,,,1.309,0.02735,,,2.1106,0.00142,,,0.63295,0.12442,,,0.66156,0.16118
,,0.59755,0.08722,,,1.31077,0.02734,,,2.11338,0.00142,,,0.63374,0.12442,,,0.66236,0.16119
,,0.59832,0.08721,,,1.31255,0.02734,,,2.11617,0.00142,,,0.63453,0.12442,,,0.66317,0.16119
,,0.5991,0.0872,,,1.31432,0.02734,,,2.11896,0.00142,,,0.63532,0.12441,,,0.66397,0.16119
,,0.59987,0.0872,,,1.3161,0.02734,,,2.12175,0.00142,,,0.63611,0.12441,,,0.66478,0.1612
,,0.60064,0.08719,,,1.31787,0.02733,,,2.12454,0.00142,,,0.6369,0.12441,,,0.66558,0.1612
,,0.60142,0.08718,,,1.31965,0.02733,,,2.12733,0.00142,,,0.6377,0.12441,,,0.66639,0.16121
,,0.60219,0.08717,,,1.32142,0.02733,,,2.13012,0.00141,,,0.63849,0.1244,,,0.6672,0.16121
,,0.60297,0.08716,,,1.3232,0.02732,,,2.13291,0.00141,,,0.63928,0.1244,,,0.668,0.16121
,,0.60374,0.08715,,,1.32498,0.02732,,,2.1357,0.00141,,,0.64007,0.1244,,,0.66881,0.16122
,,0.60452,0.08714,,,1.32675,0.02732,,,2.13849,0.00141,,,0.64087,0.1244,,,0.66962,0.16122
,,0.6053,0.08714,,,1.32853,0.02732,,,2.14129,0.00141,,,0.64166,0.12439,,,0.67042,0.16122
,,0.60607,0.08713,,,1.33031,0.02731,,,2.14408,0.00141,,,0.64245,0.12439,,,0.67123,0.16123
,,0.60685,0.08712,,,1.33209,0.02731,,,2.14687,0.00141,,,0.64325,0.12439,,,0.67204,0.16123
,,0.60762,0.08711,,,1.33387,0.02731,,,2.14966,0.00141,,,0.64404,0.12439,,,0.67284,0.16124
,,0.6084,0.0871,,,1.33564,0.0273,,,2.15245,0.00141,,,0.64484,0.12438,,,0.67365,0.16124
,,0.60918,0.08709,,,1.33742,0.0273,,,2.15525,0.0014,,,0.64563,0.12438,,,0.67446,0.16124
,,0.60995,0.08708,,,1.3392,0.0273,,,2.15804,0.0014,,,0.64642,0.12438,,,0.67527,0.16125
,,0.61073,0.08708,,,1.34098,0.0273,,,2.16083,0.0014,,,0.64722,0.12437,,,0.67608,0.16125
,,0.61151,0.08707,,,1.34276,0.02729,,,2.16363,0.0014,,,0.64801,0.12437,,,0.67689,0.16126
,,0.61229,0.08706,,,1.34454,0.02729,,,2.16642,0.0014,,,0.64881,0.12437,,,0.67769,0.16126
,,0.61306,0.08705,,,1.34632,0.02729,,,2.16922,0.0014,,,0.6496,0.12437,,,0.6785,0.16126
,,0.61384,0.08704,,,1.3481,0.02729,,,2.17201,0.0014,,,0.6504,0.12436,,,0.67931,0.16127
,,0.61462,0.08704,,,1.34988,0.02728,,,2.1748,0.0014,,,0.65119,0.12436,,,0.68012,0.16127
,,0.6154,0.08703,,,1.35166,0.02728,,,2.1776,0.0014,,,0.65199,0.12436,,,0.68093,0.16127
,,0.61618,0.08702,,,1.35345,0.02728,,,2.18039,0.00139,,,0.65279,0.12436,,,0.68174,0.16128
,,0.61696,0.08701,,,1.35523,0.02727,,,2.18319,0.00139,,,0.65358,0.12435,,,0.68255,0.16128
,,0.61774,0.087,,,1.35701,0.02727,,,2.18599,0.00139,,,0.65438,0.12435,,,0.68336,0.16129
