cfd-a,cfd-a,sim-a,sim-a,cfd-b,cfd-b,sim-b,sim-b,cfd-c,cfd-c,sim-c,sim-c,cfd-d,cfd-d,sim-d,sim-d,cfd-e,cfd-e,sim-e,sim-e
1.19E-04,0.00603,0.00698,0.03888,3.98E-04,0.00569,0.01391,0.03813,7.54E-04,0.01196,0.02075,0.03693,5.51E-05,0.00619,0.00843,0.04892,2.60E-05,0.0061,0.00973,0.05881
1.31E-04,0.00626,0.00736,0.03972,4.38E-04,0.00593,0.01466,0.03889,8.25E-04,0.01218,0.02185,0.03759,6.24E-05,0.00647,0.00886,0.04992,3.05E-05,0.00639,0.01021,0.05995
1.44E-04,0.00652,0.00774,0.04055,4.81E-04,0.00617,0.01541,0.03964,8.95E-04,0.01239,0.02297,0.03822,7.08E-05,0.00674,0.0093,0.05089,3.55E-05,0.00668,0.0107,0.06106
1.60E-04,0.00679,0.00813,0.04136,5.29E-04,0.00642,0.01618,0.04037,9.73E-04,0.01261,0.0241,0.03883,7.92E-05,0.00701,0.00974,0.05185,4.04E-05,0.00695,0.01119,0.06216
1.75E-04,0.00706,0.00852,0.04215,5.80E-04,0.00666,0.01695,0.04108,0.00106,0.01283,0.02524,0.03941,8.89E-05,0.00729,0.01019,0.05278,4.59E-05,0.00723,0.01169,0.06323
1.92E-04,0.00731,0.00891,0.04293,6.33E-04,0.00693,0.01773,0.04177,0.00115,0.01304,0.02639,0.03997,9.92E-05,0.00758,0.01064,0.0537,5.18E-05,0.00752,0.01219,0.06428
2.11E-04,0.00757,0.00931,0.04369,6.83E-04,0.00716,0.01852,0.04245,0.00123,0.01324,0.02755,0.04051,1.10E-04,0.00785,0.0111,0.0546,5.81E-05,0.0078,0.01269,0.0653
2.30E-04,0.00784,0.00972,0.04444,7.39E-04,0.00741,0.01932,0.0431,0.00133,0.01344,0.02872,0.04103,1.22E-04,0.00814,0.01156,0.05549,6.54E-05,0.0081,0.0132,0.06631
2.49E-04,0.0081,0.01012,0.04518,7.95E-04,0.00766,0.02013,0.04374,0.00142,0.01364,0.0299,0.04152,1.35E-04,0.00844,0.01202,0.05635,7.36E-05,0.00841,0.01371,0.06731
2.71E-04,0.00837,0.01054,0.0459,8.58E-04,0.00791,0.02094,0.04436,0.00152,0.01384,0.03109,0.04199,1.50E-04,0.00875,0.01249,0.05721,8.24E-05,0.00874,0.01422,0.06828
