x-15,y-15,x-30,y-30,x-45,y-45,x-60,y-60,x-75,y-75,x-90,y-90,x-105,y-105,x-120,y-120,x-135,y-135,x-150,y-150,x-165,y-165
-0.09659258262890684,0.02588190451025207,-0.08660254037844388,0.04999999999999999,-0.07071067811865477,0.07071067811865477,-0.05000000000000002,0.08660254037844387,-0.025881904510252074,0.09659258262890684,0.0,0.1,0.025881904510252074,0.09659258262890684,0.04999999999999999,0.08660254037844388,0.07071067811865475,0.07071067811865477,0.08660254037844388,0.04999999999999999,0.09659258262890683,0.0258819045102521
-0.10190517467349672,0.027305409258315934,-0.09136568009925829,0.05274999999999999,-0.07459976541518078,0.07459976541518078,-0.05275000000000002,0.09136568009925827,-0.027305409258315937,0.10190517467349672,-3.367778697655222e-19,0.10550000000000001,0.027305409258315937,0.10190517467349672,0.05274999999999999,0.09136568009925829,0.07459976541518076,0.07459976541518078,0.09136568009925829,0.05274999999999999,0.1019051746734967,0.02730540925831597
-0.10612739198896601,0.028461315170289086,-0.09513421938733149,0.05497869995901251,-0.07765017992711182,0.077741862203522,-0.05487112079103726,0.0951983674388479,-0.02835373600171219,0.10615974625735222,9.16822764101814e-05,0.10988217501843597,0.02852546322240712,0.10611631514089336,0.05501105422739872,0.09512314253925884,0.07774668224701443,0.07765499997060427,0.09518729059077526,0.054903475059423446,0.10614866940927956,0.028417884053830254
-0.10971448545017291,0.02946267873880121,-0.0983229015267811,0.05690631332600349,-0.08021074893477073,0.08045246676591448,-0.056623552323045945,0.09849352200227746,-0.029179935709102784,0.10980303485012582,0.00024168753741421315,0.11361849529972945,0.029633312785153708,0.10969108157042111,0.05699497343879333,0.0982996134004227,0.08047021635400027,0.0802285606591283,0.09847041551074616,0.056712405176228796,0.10978004399773302,0.02935072591226409
-0.11286980570879569,0.030359815024052425,-0.10111698337301496,0.05863080456998211,-0.0824373283063398,0.08287184944683115,-0.05812368256732348,0.10142572058586717,-0.0298527683776246,0.11303340597848123,0.0004343948111228098,0.11691842601589662,0.030668611910245204,0.11283581028773462,0.05879487471498145,0.10108347485000933,0.0829109230405032,0.08247665817154955,0.10139298075425013,0.058288558939101225,0.1130011518266203,0.0301622194387541
-0.11570623059622916,0.03118053764170414,-0.10361932956695576,0.06020631941073183,-0.0844165221591168,0.08507752425951613,-0.05943630165078042,0.1040914195259023,-0.030410712259941765,0.11596045089546747,0.0006606779756967053,0.11989769447467802,0.03165277244720139,0.11566451633929166,0.06046172091058127,0.10357884433315001,0.0851460023488668,0.08448565102916898,0.10405286830592986,0.059693740096618556,0.11592312364628424,0.030884598965136043
-0.11829439607386659,0.03194217905126113,-0.10589433385400344,0.06166659716102474,-0.08620259135833941,0.0871177884757274,-0.06060208138955592,0.10655071773927172,-0.030878050002867207,0.11865245775783115,0.0009145407880074806,0.1226284254766468,0.03259883249233734,0.11824827666756253,0.062026981756810325,0.10585064946821636,0.08722330090748957,0.08630940965669895,0.10651084296623675,0.060966512239996516,0.11861500382529272,0.03153798131193644
-0.12068207182658394,0.03265641321120066,-0.10798556103263177,0.06303436129317691,-0.08783227711101058,0.08902516947315199,-0.06164861401704603,0.10884409227655543,-0.03127133947488579,0.12115542517161225,0.0011917409474896644,0.12515921312915676,0.03351537629423913,0.12063499392833503,0.06351167074074783,0.10794266322428146,0.0891748838853404,0.08798426407969218,0.10880769304584233,0.0621328892995406,0.12112317412076902,0.03213593902687659
-0.12290338512366608,0.03333154746790932,-0.10992414592430362,0.06432578151959524,-0.08933185960563268,0.0908228129429606,-0.06259567192301418,0.11100034718124883,-0.03160250364720778,0.12350209128964636,0.001489119434143647,0.12752465120720302,0.03440837773118535,0.12285878000522178,0.06493061782199432,0.1098860667249695,0.09102346102946703,0.08953610118305644,0.11097235127777084,0.0632114117817361,0.12348055910229411,0.03268814690210781
-0.12498373762469776,0.03397374188841618,-0.11173327107264637,0.06555284754212247,-0.09072092243852985,0.09252788098327282,-0.06345801508862291,0.11304084136599751,-0.03188048397746453,0.12571673600721234,0.0018042336608715443,0.12975040197480928,0.035282170581342594,0.12494494706036062,0.06629473197145874,0.11170400429041721,0.09278579508847601,0.0909841406686772,0.11302620549405498,0.06421584784315129,0.125711514335593,0.033201790318119206
-0.12694264934718924,0.034587713109995866,-0.11343075718348332,0.06672473922491631,-0.09201453131147616,0.09415351345816197,-0.0642470174481764,0.11498192886946837,-0.032112200768711206,0.127817952763404,0.0021351396129586676,0.13185612210163242,0.03614000251116675,0.1269128889358314,0.06761230138214042,0.11341421357492759,0.09447466400351152,0.09234311574700504,0.1149855822769026,0.06515675346740663,0.12783464392121208,0.03368237881883855
-0.1287955091188312,0.03517716665633147,-0.11503065785208604,0.06784866816730742,-0.09322457587822691,0.09571003267129798,-0.06497166954317968,0.11683645768732163,-0.03230314683374824,0.12982035110433815,0.002480254204644956,0.13385726009406987,0.036984371613227124,0.1287778515285446,0.06888978863495966,0.11503064188692666,0.09610006311959951,0.09362461353009391,0.11686326995946271,0.06604243162693577,0.12986452897132494,0.034134246338827855
-0.1305547061250408,0.03574507582156502,-0.11654429065762945,0.06893042058650252,-0.09436063773566244,0.09720572047717874,-0.0656392277514964,0.1186147366699697,-0.03245777293543672,0.13173565509656715,0.002838264004777214,0.1357662160589122,0.03781724111044593,0.13055207530210017,0.07013234147004017,0.1165644894997148,0.09766997886138512,0.0948379404274164,0.11866949959327838,0.06687955166077902,0.13181284140347546,0.03456087426780919
