X,Y,Z,
-0.215015,0.0316179,1.48467,
-0.215011,0.0318581,1.48467,
-0.215006,0.032111,1.48466,
-0.215001,0.0323659,1.48466,
-0.214994,0.0326336,1.48466,
-0.214985,0.0328611,1.48465,
-0.21498,0.0329758,1.48465,
-0.214974,0.03309,1.48465,
-0.214965,0.0332666,1.48464,
-0.214952,0.0335303,1.48464,
-0.214938,0.0337806,1.48463,
-0.214922,0.0340662,1.48462,
-0.214896,0.0345408,1.4846,
-0.214881,0.0348349,1.48459,
-0.214866,0.0351238,1.48458,
-0.214852,0.0354138,1.48457,
-0.214846,0.0355423,1.48457,
-0.214841,0.0356704,1.48457,
-0.214836,0.035797,1.48456,
-0.21483,0.0359236,1.48456,
-0.214826,0.0360513,1.48455,
-0.214821,0.0361789,1.48455,
-0.214817,0.0363067,1.48454,
-0.21481,0.0365019,1.48454,
-0.214803,0.0367489,1.48453,
-0.214797,0.0369964,1.48452,
-0.214792,0.0372501,1.48451,
-0.214786,0.0376486,1.4845,
-0.214783,0.0379057,1.48449,
-0.214781,0.0381632,1.48449,
-0.214779,0.0384267,1.48448,
-0.214777,0.0388321,1.48447,
-0.214776,0.0392374,1.48446,
-0.214775,0.039644,1.48444,
-0.214774,0.0400514,1.48443,
-0.214773,0.040459,1.48442,
-0.21477,0.0408667,1.48441,
-0.214768,0.0412724,1.48439,
-0.214765,0.0416765,1.48438,
-0.214761,0.0420805,1.48437,
-0.214757,0.0424844,1.48435,
-0.214753,0.0428472,1.48433,
-0.21475,0.0430669,1.48433,
-0.214747,0.0432866,1.48432,
-0.214743,0.0435062,1.48431,
-0.21474,0.0437255,1.4843,
-0.214736,0.0439447,1.48429,
-0.21473,0.044347,1.48427,
-0.214724,0.0446645,1.48425,
-0.214719,0.0449813,1.48423,
-0.214713,0.0452981,1.48422,
-0.214708,0.0455564,1.4842,
-0.214703,0.0458134,1.48419,
-0.214697,0.0461172,1.48418,
-0.214691,0.0463779,1.48416,
-0.214685,0.0466406,1.48415,
-0.214676,0.0469884,1.48413,
-0.214666,0.0473541,1.48411,
-0.214653,0.0478023,1.48408,
-0.214641,0.0481757,1.48406,
-0.214628,0.04855,1.48403,
-0.214615,0.0489264,1.48401,
-0.214596,0.0494494,1.48398,
-0.214576,0.0499677,1.48394,
-0.214552,0.0505432,1.4839,
-0.214522,0.0511638,1.48386,
-0.214496,0.0516653,1.48383,
-0.214468,0.0521829,1.48379,
-0.214439,0.052672,1.48376,
-0.214408,0.0531569,1.48372,
-0.214376,0.053642,1.48368,
-0.21434,0.0541632,1.48364,
-0.214301,0.054687,1.4836,
-0.21426,0.0552225,1.48356,
-0.2142,0.0559548,1.4835,
-0.214138,0.0566868,1.48344,
-0.214098,0.0571454,1.4834,
-0.214055,0.0576019,1.48336,
-0.214012,0.0580572,1.48332,
-0.213966,0.0585128,1.48328,
-0.213899,0.0591484,1.48323,
-0.213842,0.0596706,1.48319,
-0.213792,0.0600962,1.48315,
-0.21374,0.0605152,1.48312,
-0.213686,0.0609337,1.48308,
-0.213608,0.0615113,1.48303,
-0.213522,0.0621206,1.48298,
-0.213396,0.0629834,1.4829,
-0.213264,0.0638455,1.48283,
-0.213126,0.064708,1.48275,
-0.212958,0.0657099,1.48266,
-0.212745,0.0669214,1.48255,
-0.212521,0.0681303,1.48244,
-0.212312,0.0692004,1.48234,
-0.212098,0.0702522,1.48224,
-0.211855,0.071387,1.48213,
-0.21152,0.0728747,1.48198,
-0.211168,0.0743531,1.48183,
-0.210933,0.0752889,1.48173,
-0.210693,0.0762029,1.48163,
-0.210298,0.0776175,1.48146,
-0.209935,0.0788382,1.48132,
-0.209565,0.0800163,1.48118,
-0.209178,0.0811892,1.48104,
-0.208774,0.0823566,1.4809,
-0.208357,0.0835209,1.48077,
-0.207945,0.0846501,1.48064,
-0.207527,0.0857704,1.4805,
-0.207102,0.0868878,1.48037,
-0.206571,0.0882514,1.48021,
-0.206031,0.0895842,1.48005,
-0.20547,0.0908895,1.4799,
-0.204733,0.0925243,1.47971,
-0.203998,0.0941121,1.47954,
-0.203252,0.0956948,1.47937,
-0.20249,0.0972831,1.4792,
-0.20144,0.0994269,1.47898,
-0.200367,0.101546,1.47875,
-0.19903,0.104017,1.47848,
-0.197599,0.106432,1.47821,
-0.196101,0.108733,1.47794,
-0.194585,0.110893,1.47769,
-0.192488,0.113726,1.47735,
-0.190129,0.116761,1.47698,
-0.187706,0.119736,1.47659,
-0.185375,0.122447,1.47623,
-0.183042,0.125017,1.47588,
-0.181061,0.127104,1.47561,
-0.179064,0.129128,1.47534,
-0.177035,0.131116,1.47508,
-0.174824,0.133221,1.47479,
-0.172581,0.135281,1.4745,
-0.170071,0.13747,1.47419,
-0.167501,0.139604,1.47388,
-0.164551,0.141951,1.47353,
-0.161551,0.144234,1.47317,
-0.158539,0.146437,1.47282,
-0.155714,0.148431,1.4725,
-0.152892,0.150341,1.47219,
-0.150027,0.152188,1.4719,
-0.147119,0.15397,1.47162,
-0.144323,0.155602,1.47138,
-0.141555,0.157146,1.47117,
-0.138326,0.158887,1.47094,
-0.135016,0.160627,1.4707,
-0.131717,0.162328,1.47046,
-0.128405,0.164007,1.47023,
-0.125083,0.165663,1.47001,
-0.121748,0.167294,1.46979,
-0.11836,0.168919,1.46958,
-0.114959,0.170507,1.46939,
-0.110544,0.172483,1.46917,
-0.105057,0.17478,1.46893,
-0.0991191,0.177041,1.4687,
-0.0943281,0.178711,1.46853,
-0.0908374,0.179865,1.46841,
-0.0870291,0.181099,1.46828,
-0.0832603,0.182301,1.46815,
-0.0792887,0.183554,1.46802,
-0.0751066,0.184859,1.46789,
-0.0709205,0.18615,1.46775,
-0.0667796,0.18739,1.46762,
-0.0632976,0.188387,1.46751,
-0.0599345,0.18931,1.46741,
-0.0565596,0.190192,1.4673,
-0.0531819,0.191028,1.46721,
-0.0496741,0.191849,1.46715,
-0.0461957,0.192639,1.4671,
-0.042714,0.193425,1.46706,
-0.0371063,0.194654,1.46701,
-0.0314845,0.195842,1.46696,
-0.0253536,0.197107,1.46692,
-0.0196925,0.198252,1.46688,
-0.0140465,0.199376,1.46685,
-0.00962446,0.200248,1.46683,
-0.00519683,0.20111,1.46683,
-0.00319851,0.201492,1.46683,
-0.00120129,0.201869,1.46683,
0.000795213,0.202236,1.46684,
0.00279247,0.202591,1.46685,
0.00479185,0.202931,1.46686,
0.00679506,0.203259,1.46688,
0.00879962,0.203579,1.46689,
0.0132517,0.204272,1.46693,
0.0177081,0.204939,1.46696,
0.0221697,0.20558,1.46698,
0.0267738,0.206213,1.46701,
0.0313739,0.20682,1.46704,
0.0395351,0.207844,1.46713,
0.0470804,0.208736,1.46726,
0.053158,0.209422,1.46738,
0.0592349,0.210092,1.4675,
0.065307,0.210747,1.46762,
0.0713808,0.211388,1.46773,
0.0774561,0.212016,1.46783,
0.083533,0.21263,1.46792,
0.0896099,0.213227,1.468,
0.0956857,0.2138,1.4681,
0.10444,0.21458,1.46827,
0.113187,0.215304,1.46849,
0.121703,0.215962,1.46874,
0.130194,0.216588,1.46903,
0.138811,0.2172,1.4693,
0.145667,0.217673,1.46951,
0.152496,0.218134,1.46972,
0.159327,0.218585,1.46992,
0.166154,0.219027,1.47013,
0.173806,0.219507,1.47038,
0.182254,0.220006,1.47069,
0.190613,0.220455,1.47103,
0.200941,0.220958,1.47147,
0.211499,0.221437,1.47191,
0.222034,0.221888,1.47235,
0.230852,0.222243,1.47274,
0.239688,0.222573,1.47314,
0.249393,0.222899,1.47357,
0.257078,0.223139,1.47392,
0.264707,0.223367,1.47429,
0.273348,0.223618,1.47474,
0.281725,0.223861,1.47517,
0.290073,0.224108,1.47559,
0.30318,0.224503,1.47623,
0.315352,0.224867,1.47681,
0.326677,0.225192,1.47733,
0.337992,0.2255,1.47786,
0.349306,0.225791,1.4784,
0.36062,0.226066,1.47894,
0.371934,0.226325,1.47949,
0.386898,0.226646,1.48021,
0.405958,0.227016,1.48113,
0.425067,0.227334,1.48204,
0.444196,0.227602,1.48295,
0.464619,0.227828,1.48384,
0.477875,0.227935,1.48434,
0.488345,0.227995,1.48468,
0.501576,0.228068,1.4851,
0.515463,0.228147,1.48556,
0.538275,0.228288,1.48631,
0.56108,0.228438,1.48702,
