CFD-a,CFD-a,SIM-a,SIM-a,CFD-b,CFD-b,SIM-b,SIM-b,CFD-c,CFD-c,SIM-c,SIM-c,CFD-d,CFD-d,SIM-d,SIM-d,CFD-e,CFD-e,SIM-e,SIM-e
0.00603,35932,0.03981,29094.15172,0.00571,35974,0.04171,23937.40232,0.01203,34726,0.04458,18708.9065,0.00619,35602,0.05002,28161.18257,0.0061,35510,0.06003,27457.54219
0.00627,35718,0.04073,28845.29755,0.00595,35756,0.04278,23498.48094,0.01226,34460,0.04587,18187.32374,0.00647,35350,0.0511,27926.66306,0.00639,35260,0.06127,27235.788
0.00652,35494,0.04164,28599.33311,0.00619,35562,0.04385,23067.72833,0.01249,34094,0.04715,17683.37509,0.00674,35118,0.05217,27695.46475,0.00668,34988,0.06249,27017.59819
0.00679,35250,0.04254,28356.13425,0.00645,35220,0.0449,22645.14377,0.01272,33774,0.04843,17196.58752,0.00701,34836,0.05322,27467.41625,0.00695,34794,0.06369,26802.77162
0.00706,35006,0.04342,28115.59137,0.0067,34932,0.04595,22230.71126,0.01296,33402,0.04971,16726.47241,0.00729,34588,0.05426,27242.36457,0.00723,34576,0.06487,26591.12806
0.00732,34840,0.0443,27877.60755,0.00697,34522,0.047,21824.40049,0.01318,33084,0.05099,16272.53101,0.00758,34336,0.05528,27020.17288,0.00752,34352,0.06603,26382.50559
0.00758,34582,0.04516,27642.09693,0.00721,34314,0.04803,21426.16795,0.01339,32748,0.05227,15834.25911,0.00785,34102,0.05629,26800.71846,0.0078,34092,0.06717,26176.75838
0.00784,34342,0.04601,27408.98327,0.00746,34006,0.04907,21035.95801,0.01362,32400,0.05355,15411.15094,0.00814,33802,0.05729,26583.89104,0.0081,33838,0.0683,25973.75477
0.0081,34130,0.04685,27178.19881,0.00772,33642,0.05009,20653.704,0.01384,32066,0.05483,15002.70245,0.00845,33518,0.05827,26369.59128,0.00841,33640,0.06942,25773.37562
0.00838,33934,0.04768,26949.68313,0.00798,33232,0.05111,20279.3293,0.01406,31754,0.05611,14608.41397,0.00875,33246,0.05925,26157.72949,0.00874,33400,0.07052,25575.51288
0.00866,33718,0.04851,26723.38236,0.00824,32774,0.05213,19912.74832,0.01429,31350,0.05739,14227.7925,0.00909,32922,0.06021,25948.22451,0.00904,33142,0.0716,25380.06829
0.00893,33464,0.04932,26499.24817,0.00851,32406,0.05315,19553.86756,0.01454,30934,0.05867,13860.35348,0.00939,32638,0.06116,25741.00275,0.00934,32878,0.07268,25186.95235
0.00922,33178,0.05013,26277.23733,0.00879,32046,0.05416,19202.58647,0.01477,30576,0.05995,13505.62222,0.00969,32350,0.0621,25535.99731,0.00965,32664,0.07374,24996.08336
0.00952,32874,0.05093,26057.31084,0.00908,31634,0.05516,18858.79841,0.015,30238,0.06123,13163.13506,0.00998,32040,0.06302,25333.14726,0.00998,32426,0.07479,24807.38656
0.00981,32584,0.05172,25839.43359,0.00934,31316,0.05617,18522.39139,0.01526,29874,0.06251,12832.44024,0.01028,31828,0.06395,25132.39698,0.01032,32202,0.07583,24620.79342
0.01013,32248,0.05251,25623.5738,0.0096,30988,0.05717,18193.24895,0.01551,29534,0.0638,12513.09853,0.01058,31594,0.06486,24933.69551,0.01065,31980,0.07685,24436.24095
0.01044,31918,0.05328,25409.70259,0.00987,30684,0.05817,17871.25076,0.01574,29198,0.06508,12204.68369,0.01092,31298,0.06576,24736.99613,0.01101,31754,0.07787,24253.67116
0.01077,31608,0.05405,25197.79367,0.01012,30396,0.05916,17556.27338,0.01597,28890,0.06637,11906.78278,0.01125,31066,0.06665,24542.25589,0.01135,31584,0.07888,24073.0306
0.0111,31296,0.05482,24987.82295,0.01038,30098,0.06016,17248.19079,0.01622,28560,0.06765,11618.99629,0.01159,30828,0.06754,24349.43513,0.01172,31358,0.07988,23894.2698
0.01141,30964,0.05558,24779.76829,0.01064,29802,0.06115,16946.87502,0.01646,28224,0.06894,11340.93822,0.0119,30608,0.06842,24158.49724,0.01208,31128,0.08086,23717.34294
0.01171,30598,0.05633,24573.60929,0.01092,29496,0.06214,16652.19659,0.01673,27890,0.07023,11072.236,0.01226,30356,0.06929,23969.40824,0.01242,30908,0.08184,23542.20753
0.01205,30184,0.05708,24369.32699,0.0112,29124,0.06313,16364.025,0.01698,27566,0.07152,10812.5304,0.01259,30126,0.07015,23782.13657,0.01276,30770,0.08281,23368.82397
0.01239,29806,0.05782,24166.90374,0.01146,28732,0.06412,16082.22918,0.01725,27288,0.07282,10561.47534,0.01293,29844,0.07101,23596.6528,0.01311,30532,0.08378,23197.1554
0.0127,29492,0.05856,23966.32295,0.01171,28422,0.0651,15806.67779,0.01754,26930,0.07411,10318.73762,0.01325,29572,0.07186,23412.92944,0.01343,30272,0.08473,23027.16735
0.01302,29144,0.05929,23767.56904,0.01195,28136,0.06608,15537.23964,0.01781,26544,0.07541,10083.99667,0.01357,29302,0.0727,23230.94067,0.01376,30002,0.08568,22858.82758
0.01335,28784,0.06002,23570.62721,0.01219,27896,0.06707,15273.78394,0.01805,26246,0.0767,9856.94427,0.01388,29034,0.07354,23050.66229,0.0141,29868,0.08662,22692.10581
0.01366,28440,0.06074,23375.48339,0.01245,27624,0.06805,15016.1806,0.01826,26016,0.078,9637.28416,0.0142,28784,0.07437,22872.07139,0.01443,29708,0.08755,22526.97357
0.01395,28172,0.06146,23182.12409,0.01272,27312,0.06903,14764.30047,0.01851,25846,0.0793,9424.73174,0.01453,28542,0.0752,22695.14636,0.01477,29532,0.08848,22363.40404
0.01425,27854,0.06217,22990.53631,0.01298,27056,0.07001,14518.0155,0.01878,25574,0.08061,9219.01369,0.01485,28300,0.07602,22519.8667,0.01512,29308,0.08939,22201.37193
0.01457,27588,0.06288,22800.70752,0.01324,26894,0.07099,14277.19902,0.01904,25270,0.08191,9019.8676,0.01518,28034,0.07683,22346.21287,0.01545,29062,0.09031,22040.85322
0.01491,27292,0.06359,22612.62551,0.01352,26638,0.07197,14041.72583,0.0193,24950,0.08322,8827.0416,0.01553,27760,0.07765,22174.16625,0.01581,28864,0.09121,21881.82523
0.01527,27028,0.06429,22426.27835,0.0138,26288,0.07295,13811.47237,0.01955,24618,0.08452,8640.29402,0.0159,27508,0.07845,22003.70904,0.01618,28586,0.09211,21724.26632
0.01563,26784,0.06499,22241.65436,0.0141,25986,0.07392,13586.31684,0.01982,24330,0.08583,8459.39294,0.01628,27282,0.07925,21834.82411,0.01657,28330,0.09301,21568.15594
0.01599,26516,0.06569,22058.74206,0.01439,25786,0.0749,13366.13931,0.02008,24068,0.08714,8284.11593,0.01666,27022,0.08005,21667.49501,0.01698,28180,0.0939,21413.47444
0.01635,26232,0.06638,21877.53008,0.01468,25598,0.07588,13150.82179,0.02037,23782,0.08845,8114.2496,0.01706,26760,0.08084,21501.70588,0.01742,28036,0.09478,21260.20303
0.0167,25898,0.06707,21698.00719,0.01499,25334,0.07685,12940.24832,0.02064,23534,0.08977,7949.58928,0.01748,26578,0.08163,21337.44134,0.01784,27872,0.09566,21108.32374
0.01709,25580,0.06775,21520.16223,0.01533,25016,0.07783,12734.30503,0.02092,23182,0.09108,7789.93869,0.01789,26364,0.08241,21174.68654,0.0183,27670,0.09653,20957.81926
0.01746,25294,0.06843,21343.98411,0.01565,24740,0.07881,12532.88018,0.02122,22838,0.0924,7635.10958,0.01833,26222,0.08319,21013.42697,0.01878,27434,0.0974,20808.67299
0.01784,25078,0.06911,21169.4617,0.01598,24450,0.07978,12335.86419,0.02151,22518,0.09371,7484.92141,0.0188,26040,0.08396,20853.64856,0.01926,27218,0.09827,20660.86889
0.01822,24880,0.06979,20996.58398,0.01631,24116,0.08076,12143.14971,0.02182,22178,0.09503,7339.20103,0.01929,25766,0.08474,20695.33755,0.01979,26940,0.09912,20514.39149
0.01864,24646,0.07046,20825.33986,0.01666,23794,0.08173,11954.63158,0.02212,21886,0.09635,7197.7824,0.01977,25446,0.0855,20538.48049,0.02032,26664,0.09998,20369.22584
0.01908,24390,0.07113,20655.71821,0.01704,23494,0.08271,11770.20686,0.02246,21588,0.09768,7060.50623,0.02027,25146,0.08627,20383.06421,0.02082,26434,0.10083,20225.35742
0.01953,24052,0.0718,20487.70796,0.01741,23192,0.08368,11589.77487,0.02282,21278,0.099,6927.21977,0.02077,24840,0.08703,20229.07579,0.02133,26146,0.10168,20082.77216
0.01999,23710,0.07247,20321.29787,0.01778,22950,0.08466,11413.23713,0.02318,21030,0.10032,6797.77647,0.0213,24558,0.08779,20076.5025,0.02187,25824,0.10252,19941.45638
0.02047,23380,0.07313,20156.4768,0.01818,22632,0.08564,11240.49742,0.02351,20808,0.10165,6672.03578,0.02182,24308,0.08854,19925.33184,0.02238,25676,0.10336,19801.39678
0.02097,23024,0.07379,19993.23343,0.01858,22304,0.08661,11071.46167,0.02386,20610,0.10298,6549.86283,0.02234,24084,0.08929,19775.55148,0.02291,25470,0.10419,19662.58033
0.02147,22692,0.07445,19831.55644,0.01899,21970,0.08759,10906.03807,0.02423,20382,0.10431,6431.12822,0.02287,23814,0.09004,19627.14929,0.02345,25266,0.10502,19524.99439
0.02197,22406,0.0751,19671.43447,0.01937,21646,0.08856,10744.13691,0.02461,20118,0.10564,6315.7078,0.02342,23568,0.09079,19480.11321,0.02402,25040,0.10585,19388.62658
0.0225,22144,0.07576,19512.85604,0.01981,21314,0.08954,10585.67067,0.025,19834,0.10697,6203.48241,0.02397,23292,0.09153,19334.43136,0.02463,24754,0.10667,19253.46474
0.02304,21806,0.07641,19355.80967,0.02026,21016,0.09052,10430.55394,0.02539,19532,0.1083,6094.3377,0.02455,23016,0.09227,19190.09203,0.02524,24450,0.10749,19119.49701
0.0236,21476,0.07706,19200.28379,0.0207,20742,0.09149,10278.70339,0.02578,19244,0.10963,5988.16388,0.02517,22720,0.093,19047.08351,0.02584,24206,0.10831,18986.71173
0.02414,21112,0.07771,19046.26675,0.02114,20486,0.09247,10130.03775,0.02617,18948,0.11097,5884.85557,0.0258,22442,0.09374,18905.3943,0.02644,24028,0.10912,18855.09747
0.0247,20800,0.07836,18893.74689,0.0216,20200,0.09345,9984.47778,0.02655,18660,0.1123,5784.31159,0.02646,22176,0.09447,18765.01294,0.02706,23790,0.10993,18724.64298
0.02525,20494,0.079,18742.71245,0.02209,19938,0.09443,9841.94621,0.02693,18370,0.11364,5686.43479,0.02709,21912,0.0952,18625.92806,0.02768,23518,0.11073,18595.33719
0.02584,20150,0.07964,18593.15163,0.02256,19674,0.0954,9702.36775,0.02736,18028,0.11498,5591.13184,0.02771,21668,0.09593,18488.12838,0.02834,23256,0.11154,18467.16924
0.02647,19856,0.08028,18445.05262,0.02302,19428,0.09638,9565.66899,0.02779,17707.2,0.11632,5498.31312,0.02833,21408,0.09665,18351.60267,0.02898,23056,0.11234,18340.12839
0.02714,19518,0.08092,18298.40349,0.0235,19100,0.09736,9431.77843,0.02825,17334,0.11766,5407.89253,0.02896,21172,0.09737,18216.33985,0.02965,22810,0.11314,18214.20406
0.02778,19152,0.08156,18153.19231,0.02396,18772,0.09834,9300.6264,0.02867,17072.4,0.119,5319.78736,0.02963,20914,0.09809,18082.3288,0.03037,22474,0.11393,18089.38582
0.02847,18830,0.0822,18009.40713,0.02443,18420,0.09932,9172.14501,0.02912,16780.8,0.12034,5233.91811,0.03038,20654,0.09881,17949.55855,0.03112,22164,0.11473,17965.66339
0.02919,18498,0.08283,17867.03593,0.0249,18102,0.1003,9046.26814,0.02962,16482.4,0.12169,5150.20841,0.03112,20408,0.09953,17818.01814,0.03192,21894,0.11551,17843.02659
0.02992,18180,0.08346,17726.06666,0.02537,17860,0.10128,8922.93141,0.03012,16224.4,0.12303,5068.58483,0.03186,20132,0.10024,17687.69668,0.03274,21692,0.1163,17721.46537
0.03067,17908,0.0841,17586.48726,0.02587,17608,0.10226,8802.0721,0.03062,15982,0.12438,4988.9768,0.03263,19780,0.10095,17558.58336,0.03363,21494,0.11709,17600.9698
0.03147,17637.8,0.08473,17448.28568,0.02639,17356,0.10324,8683.62915,0.03112,15710,0.12572,4911.31646,0.03344,19512,0.10166,17430.66737,0.03449,21268,0.11787,17481.53006
0.03225,17379.8,0.08535,17311.44978,0.02694,17076,0.10422,8567.54307,0.03162,15408.4,0.12707,4835.53858,0.03425,19242,0.10237,17303.93803,0.03535,20970,0.11865,17363.13642
0.03307,17120.6,0.08598,17175.96745,0.02749,16762.6,0.1052,8453.75599,0.03213,15122.4,0.12842,4761.58041,0.03509,18966,0.10308,17178.38466,0.03623,20724,0.11943,17245.77926
0.03387,16877.8,0.08661,17041.82659,0.02804,16469.4,0.10618,8342.21151,0.03263,14830.8,0.12977,4689.38163,0.0359,18726,0.10378,17053.99664,0.03713,20482,0.1202,17129.44906
0.03466,16615.2,0.08723,16909.01505,0.02858,16182.4,0.10716,8232.85476,0.03315,14542.4,0.13112,4618.8842,0.03678,18382,0.10448,16930.76339,0.03806,20256,0.12098,17014.1364
0.03554,16332.6,0.08786,16777.52073,0.02919,15854,0.10815,8125.63232,0.0337,14218.8,0.13247,4550.03227,0.03774,17952,0.10518,16808.67443,0.03901,19998,0.12175,16899.83191
