x,y,u_real_x,u_real_y,s,d,Q,ppm,d_u_x,d_u_y,d_U_s_x,d_U_s_y
0.54173968933033,0.08794688567825173,0.15107698658962454,-0.002226988855292149,0.5952656425565089,0.3276332840732038,0.012738297982279488,976.6083683385056,5.2432888116599186e-05,7.166765122476951e-06,"[0.1508845708, -0.0078721636, 160.8408812692, 0.13994360521353758, 0.05695535109677993]","[0.1509371737, -0.0078540624, 160.8666984078, 0.1400248848189707, 0.05689242781544343]"
0.5424950742632781,0.08793575073397528,0.15112934841297576,-0.0022198419998921935,0.5960211095537424,0.3280237094173741,0.01277309099904226,975.1466842437123,5.2361823351221304e-05,7.146855399955271e-06,"[0.1509371737, -0.0078540624, 160.8666984078, 0.1400248848189707, 0.05689242781544343]","[0.1509897052, -0.0078360115, 160.8924569001, 0.14010599396358317, 0.05682961039047478]"
0.543250721005343,0.08792465152397583,0.15118163917039446,-0.0022127150611391515,0.5967768378059971,0.32841426977813926,0.012807945800301203,973.6903670782183,5.229075741869371e-05,7.126938753041975e-06,"[0.1509897052, -0.0078360115, 160.8924569001, 0.14010599396358317, 0.05682961039047478]","[0.1510421653, -0.0078180108, 160.9181569161, 0.14018693304817068, 0.05676689865597279]"
0.5440066292011949,0.08791358794867013,0.15123385866033026,-0.0022056079453081105,0.5975328269615111,0.328804964973709,0.01284286239778413,972.2393936775376,5.2219489935806385e-05,7.1071158310410595e-06,"[0.1510421653, -0.0078180108, 160.9181569161, 0.14018693304817068, 0.05676689865597279]","[0.1510945538, -0.0078000601, 160.9437986251, 0.14026770247263426, 0.05670429244655694]"
0.5447627984944966,0.08790255990894358,0.15128600718220928,-0.0021985206584015666,0.5982890766674895,0.3291957948217586,0.012877840845618872,970.793739232004,5.214852187901409e-05,7.087286906543901e-06,"[0.1510945538, -0.0078000601, 160.9437986251, 0.14026770247263426, 0.05670429244655694]","[0.151146871, -0.0077821593, 160.9693821956, 0.14034830263590456, 0.05664179159739178]"
0.5455192285304077,0.08789156730565156,0.15133808453449096,-0.002191453105799138,0.5990455865726168,0.3295867591407283,0.01291288115521985,969.3533808229566,5.207735228168753e-05,7.067552602428584e-06,"[0.151146871, -0.0077821593, 160.9693821956, 0.14034830263590456, 0.05664179159739178]","[0.1511991167, -0.0077643082, 160.9949077962, 0.14042873393685695, 0.05657939594173564]"
0.5462759189530801,0.08788061004012257,0.1513900907160287,-0.0021844053928056044,0.599802356324544,0.3299778577485244,0.012947983355024253,967.9182949388237,5.2006181537750384e-05,7.047712993533614e-06,"[0.1511991167, -0.0077643082, 160.9949077962, 0.14042873393685695, 0.05657939594173564]","[0.1512512909, -0.0077465068, 161.0203755943, 0.14050899677307932, 0.056517105314459755]"
0.5470328694066603,0.08786968801315853,0.15144202582587427,-0.0021773774238920034,0.6005593855709066,0.3303690904630445,0.012983147481652118,966.4884578520441,5.1935109845552274e-05,7.027968913600989e-06,"[0.1512512909, -0.0077465068, 161.0203755943, 0.14050899677307932, 0.056517105314459755]","[0.1513033937, -0.0077287549, 161.0457857575, 0.14058909154195323, 0.056454919548560745]"
0.5477900795357896,0.08785880112603908,0.15149388986288992,-0.002170369103093271,0.6013166739598096,0.33076045710242963,0.013018373563059397,965.0638463069494,5.186403701565312e-05,7.008320798732384e-06,"[0.1513033937, -0.0077287549, 161.0457857575, 0.14058909154195323, 0.056454919548560745]","[0.1513554251, -0.0077110523, 161.071138452, 0.1406690186396699, 0.056392838478737654]"
0.548547548985104,0.08784794928052361,0.15154568282594297,-0.0021633805343894896,0.6020742211393277,0.3311519574848046,0.013053661627290759,963.6444371585379,5.1792963053048924e-05,6.988568703781423e-06,"[0.1513554251, -0.0077110523, 161.071138452, 0.1406690186396699, 0.056392838478737654]","[0.1514073851, -0.007693399, 161.096433844, 0.14074877846207262, 0.0563308619383834]"
0.5493052773992337,0.08783713237785168,0.15159740471390531,-0.0021564116209344996,0.6028320267575195,0.33154359142828604,0.013089011701986314,962.2302073916978,5.172188796234711e-05,6.968913454990025e-06,"[0.1514073851, -0.007693399, 161.096433844, 0.14074877846207262, 0.0563308619383834]","[0.1514592737, -0.0076757948, 161.1216720991, 0.14082837140417442, 0.05626898976112689]"
0.5500632644228033,0.087826350319747,0.15164905542546103,-0.0021494623656382363,0.6035900904624129,0.33193535875097496,0.013124423806081512,960.8211344495971,5.165071155571743e-05,6.949255296263314e-06,"[0.1514592737, -0.0076757948, 161.1216720991, 0.14082837140417442, 0.05626898976112689]","[0.1515110908, -0.0076582396, 161.1468533827, 0.1409077978606213, 0.05620722177934275]"
0.5508215096999306,0.08781560300791882,0.15170063515987772,-0.0021425326707757803,0.604348411901512,0.33232725927070145,0.013159897984197639,959.4171948664565,5.157973441669017e-05,6.9296948624559054e-06,"[0.1515110908, -0.0076582396, 161.1468533827, 0.1409077978606213, 0.05620722177934275]","[0.1515628366, -0.0076407332, 161.171977859, 0.1409870582247381, 0.056145557827224114]"
0.55158001287573,0.08780489034456496,0.15175214391604086,-0.002135622538396305,0.6051069907232925,0.33271929280579754,0.013195434263703868,958.0183659800219,5.150875616313777e-05,6.910132379475166e-06,"[0.1515628366, -0.0076407332, 161.171977859, 0.1409870582247381, 0.056145557827224114]","[0.1516145111, -0.0076232755, 161.1970456922, 0.1410661528896894, 0.05608399773727508]"
0.5523387735953103,0.08779421223187298,0.15180358149245612,-0.0021287319701179287,0.6058658265762071,0.33311145917458385,0.013231032654348641,956.6246259269913,5.143757641526414e-05,6.8905682783764605e-06,"[0.1516145111, -0.0076232755, 161.1970456922, 0.1410661528896894, 0.05608399773727508]","[0.1516661141, -0.0076058664, 161.2220570456, 0.14114508224763525, 0.05602254134286988]"
0.5530977915027725,0.08778356857202238,0.15185494818859638,-0.002121860967116018,0.6066249191076837,0.33350375819485095,0.013266693209272993,955.2359512544463,5.136669614025369e-05,6.87100300191066e-06,"[0.1516661141, -0.0076058664, 161.2220570456, 0.14114508224763525, 0.05602254134286988]","[0.1517176459, -0.0075885058, 161.2470120824, 0.14122384669024063, 0.05596118847622673]"
