X,Y,Z,ppm
-0.215015,0.0316179,1.48467,2.57E+04
-0.215014,0.0317627,1.48467,3.06E+04
-0.215013,0.0319089,1.48467,3.41E+04
-0.215012,0.0320601,1.48466,3.40E+04
-0.215009,0.0322182,1.48466,3.15E+04
-0.215004,0.0324868,1.48466,3.23E+04
-0.21499,0.0329386,1.48465,3.15E+04
-0.214971,0.0333873,1.48464,3.07E+04
-0.214957,0.0336843,1.48463,3.02E+04
-0.214933,0.0341534,1.48461,3.01E+04
-0.214919,0.0344497,1.4846,2.99E+04
-0.214904,0.0347443,1.48459,2.86E+04
-0.214889,0.0350331,1.48458,2.88E+04
-0.214875,0.0353229,1.48457,2.96E+04
-0.214869,0.03545,1.48456,2.96E+04
-0.214863,0.035578,1.48456,2.88E+04
-0.214857,0.0357045,1.48455,2.80E+04
-0.214852,0.035831,1.48455,2.72E+04
-0.214846,0.0359586,1.48454,2.75E+04
-0.21484,0.0360861,1.48453,2.78E+04
-0.214835,0.0362137,1.48453,2.81E+04
-0.21483,0.0363412,1.48452,2.80E+04
-0.21482,0.0365904,1.48451,2.73E+04
-0.21481,0.0368369,1.4845,2.64E+04
-0.214801,0.0370842,1.48448,2.62E+04
-0.214792,0.037337,1.48447,2.60E+04
-0.214784,0.037595,1.48445,2.57E+04
-0.214776,0.0378524,1.48444,2.55E+04
-0.214769,0.0381092,1.48442,2.53E+04
-0.214762,0.038372,1.48441,2.50E+04
-0.214752,0.0387761,1.48438,2.47E+04
-0.214743,0.0391804,1.48436,2.44E+04
-0.214736,0.0395859,1.48433,2.42E+04
-0.21473,0.0399928,1.48431,2.41E+04
-0.214724,0.0403998,1.48428,2.39E+04
-0.21472,0.0408067,1.48425,2.36E+04
-0.214716,0.0412117,1.48422,2.34E+04
-0.214712,0.0416156,1.4842,2.32E+04
-0.214709,0.0420192,1.48417,2.30E+04
-0.214707,0.0423021,1.48415,2.29E+04
-0.214705,0.0425853,1.48413,2.27E+04
-0.214702,0.0428647,1.48411,2.27E+04
-0.2147,0.0430836,1.48409,2.27E+04
-0.214697,0.0433026,1.48408,2.28E+04
-0.214693,0.043522,1.48406,2.27E+04
-0.214689,0.0437412,1.48405,2.26E+04
-0.214682,0.044128,1.48402,2.24E+04
-0.214672,0.0445663,1.48398,2.22E+04
-0.214664,0.0448829,1.48396,2.21E+04
-0.214656,0.0451991,1.48393,2.21E+04
-0.214649,0.0454261,1.48392,2.21E+04
-0.214641,0.0456559,1.4839,2.25E+04
-0.214632,0.0458884,1.48388,2.25E+04
-0.214619,0.0462069,1.48385,2.26E+04
-0.214604,0.0465251,1.48382,2.26E+04
-0.214587,0.0468725,1.48379,2.26E+04
-0.214561,0.0473201,1.48375,2.29E+04
-0.214534,0.0477674,1.48371,2.31E+04
-0.214505,0.0482144,1.48367,2.34E+04
-0.214474,0.0486614,1.48363,2.36E+04
-0.214442,0.0491083,1.48358,2.38E+04
-0.214407,0.0495534,1.48354,2.36E+04
-0.214368,0.0500175,1.48349,2.32E+04
-0.214326,0.050481,1.48344,2.29E+04
-0.214281,0.0509453,1.48339,2.26E+04
-0.214228,0.0514578,1.48334,2.26E+04
-0.21417,0.0519712,1.48328,2.26E+04
-0.2141,0.0525464,1.48322,2.21E+04
-0.214027,0.0531035,1.48316,2.17E+04
-0.21395,0.0536558,1.4831,2.15E+04
-0.213875,0.0541705,1.48304,2.16E+04
-0.213795,0.0546852,1.48298,2.18E+04
-0.213712,0.0552012,1.48291,2.19E+04
-0.213623,0.0557276,1.48285,2.20E+04
-0.213531,0.0562533,1.48279,2.22E+04
-0.213401,0.0569569,1.4827,2.23E+04
-0.213265,0.0576563,1.48261,2.20E+04
-0.213133,0.0583025,1.48252,2.15E+04
-0.212995,0.0589315,1.48244,2.11E+04
-0.212849,0.0595612,1.48236,2.07E+04
-0.212654,0.0603406,1.48226,2.03E+04
-0.212424,0.0612129,1.48215,2.02E+04
-0.212192,0.0620517,1.48204,2.01E+04
-0.211974,0.0628158,1.48194,2.00E+04
-0.21175,0.0635685,1.48184,1.99E+04
-0.211446,0.06454,1.48171,1.96E+04
-0.211142,0.0654788,1.48159,1.95E+04
-0.210784,0.0665441,1.48146,1.90E+04
-0.210409,0.0676009,1.48132,1.85E+04
-0.210017,0.0686494,1.48118,1.81E+04
-0.209589,0.0697254,1.48103,1.81E+04
-0.209098,0.0708909,1.48087,1.78E+04
-0.208473,0.0722924,1.48068,1.75E+04
-0.207818,0.0736591,1.48049,1.66E+04
-0.207153,0.0749486,1.48031,1.59E+04
-0.206468,0.0762051,1.48012,1.52E+04
-0.205761,0.0774427,1.47994,1.48E+04
-0.205028,0.0786656,1.47976,1.47E+04
-0.20424,0.0799145,1.47958,1.45E+04
